Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
TFM,Y13,control,1661.14,1623.4,1692.84,2450.08,1733.28,2083.07
WC,Y13,control,1563.48,1536.33,1613.66,2327.72,1646.35,1983.56
WCn,Y13,control,0.941209049,0.946365652,0.953226531,0.950058774,0.949846534,0.952229162
dGP,Y13,salt,309728,380289,NA,519231,293935,286601
GPF,Y13,salt,528705,647617,394341,764732,533387,545015
GPI,Y13,salt,218977,267328,248839,245501,239452,258414
L4A,Y13,salt,5.6911,NA,3.0611,4.8491,4.0893,3.68
L4DM,Y13,salt,6.37,5.27,3.34,5.98,4.29,4.05
L4FM,Y13,salt,63.1,45.73,28.39,79.16,42.17,33.51
LeafElongationFactor,Y13,salt,0.6608,NA,0.6165,0.7321,0.6902,0.6086
LeafHorizWidth,Y13,salt,2.8405,NA,2.3472,3.0106,2.5343,2.2452
LeafPerimeter,Y13,salt,26.9765,NA,21.8104,24.9955,21.3248,20.917
LeafSucculence,Y13,salt,9.968195955,NA,8.183332789,NA,9.263199081,8.005434783
LeafVertLength,Y13,salt,4.2983,NA,3.8075,4.1121,3.6722,3.6891
LK,Y13,salt,64.95681297,69.32773109,92.21556886,NA,67.71383316,88.76442634
LNa,Y13,salt,207.0333157,212.0612951,223.9520958,NA,275.6071806,212.8309572
RDM,Y13,salt,4.54,6.27,4.55,5.15,4.3,5.55
RFM,Y13,salt,75.88,92.07,80.04,76.87,81.54,95.67
RK,Y13,salt,61.81665265,59.03263403,56.16637965,63.0228667,67.84049715,57.97825122
RL,Y13,salt,16.5,17,18,16,NA,16
RNa,Y13,salt,173.8155313,200.4662005,160.6173003,217.163971,189.0212325,183.6440302
SDM,Y13,salt,20.78,20.7,22.17,NA,20.28,22.81
SFM,Y13,salt,340.63,337.34,322.52,NA,294.8,319.91
SL,Y13,salt,4.5,4,5,4.5,4.5,5
ST,Y13,salt,NA,NA,1.34,1.41,1.38,1.49
TDM,Y13,salt,31.69,32.24,30.06,NA,28.87,32.41
TFM,Y13,salt,416.51,429.41,402.56,NA,376.34,415.58
WC,Y13,salt,384.82,397.17,372.5,NA,347.47,383.17
WCn,Y13,salt,0.923915392,0.924920239,0.925327901,0.926166185,0.923287453,0.922012609
dGP,Y13,T0,NA,NA,NA,NA,NA,NA
GPF,Y13,T0,NA,NA,NA,NA,NA,NA
GPI,Y13,T0,203007,143987,146600,229144,226302,200712
L4A,Y13,T0,NA,NA,NA,NA,NA,NA
L4DM,Y13,T0,NA,NA,NA,NA,NA,NA
L4FM,Y13,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y13,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y13,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y13,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y13,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y13,T0,NA,NA,NA,NA,NA,NA
LK,Y13,T0,NA,NA,NA,NA,NA,NA
LNa,Y13,T0,NA,NA,NA,NA,NA,NA
RDM,Y13,T0,0.59,0.94,0.54,1.13,1.09,0.97
RFM,Y13,T0,16.91,NA,NA,17.93,17.7,17.85
RK,Y13,T0,NA,NA,NA,NA,NA,NA
RL,Y13,T0,11,10,10.5,10.5,11.5,9.5
RNa,Y13,T0,NA,NA,NA,NA,NA,NA
SDM,Y13,T0,6.56,4.62,5.21,6.61,6.76,6.7
SFM,Y13,T0,100.82,72.39,68.25,91.75,96.75,92.65
SL,Y13,T0,NA,2.8,2.6,2.5,2.6,2.4
ST,Y13,T0,0.94,0.83,0.78,0.87,0.97,0.97
TDM,Y13,T0,7.15,5.56,5.75,7.74,7.85,7.67
TFM,Y13,T0,117.73,94.38,79.06,109.68,114.45,110.5
WC,Y13,T0,110.58,88.82,73.31,101.94,106.6,102.83
WCn,Y13,T0,0.939267816,0.941089214,0.927270428,0.929431072,0.931411097,0.930588235
dGP,Y14,control,2575114,2026558,2729141,2492775,3574699,4029928
GPF,Y14,control,2903973,2243355,2967977,2720826,3881232,4303274
GPI,Y14,control,328859,216797,238836,228051,306533,273346
L4A,Y14,control,26.2807,18.1494,22.262,28.0287,26.2151,28.2558
L4DM,Y14,control,23.5,16.46,19.86,25.8,24.25,25.29
L4FM,Y14,control,283.21,187.91,208.2,283.26,257.8,NA
LeafElongationFactor,Y14,control,0.6489,0.6082,0.6604,NA,0.6272,0.6409
LeafHorizWidth,Y14,control,6.7866,5.2388,5.8001,7.3479,6.5485,7.484
LeafPerimeter,Y14,control,68.7716,52.7489,57.1576,73.7435,65.101,75.9576
LeafSucculence,Y14,control,9.882156868,9.446593276,8.46015632,9.185584776,8.908987568,NA
LeafVertLength,Y14,control,10.4581,8.6135,8.7827,10.2381,10.4411,11.6765
LK,Y14,control,81.05194255,109.3613298,116.5445471,102.7344053,116.2491972,31.04054142
LNa,Y14,control,10.70424704,9.682123068,8.866942763,11.08910122,11.77478056,NA
RDM,Y14,control,14.54,9.58,10.9,13.88,17.15,11.48
RFM,Y14,control,435.72,167.43,208.32,313.26,308.71,377.2
RK,Y14,control,31.2218054,82.99018055,70.66153379,45.7612399,95.34915626,29.80422181
RL,Y14,control,15.2,16,19,16.5,15,17.9
RNa,Y14,control,NA,10.92809629,10.30797285,10.17102011,12.03868843,10.40413431
SDM,Y14,control,97.14,72.57,79.49,79.72,109.62,102.66
SFM,Y14,control,2579.93,1515.38,1638.8,1719.4,2527.3,2184.8
SL,Y14,control,12.2,11,11.5,10,13.3,14.9
ST,Y14,control,2.75,2.55,2.81,2.91,3.18,3.25
TDM,Y14,control,135.18,98.61,110.25,119.4,151.02,139.43
TFM,Y14,control,3015.65,1682.81,1847.12,2032.66,2836.01,2562
WC,Y14,control,2880.47,1584.2,1736.87,1913.26,2684.99,2422.57
WCn,Y14,control,NA,0.941401584,0.940312486,0.941259237,0.94674913,0.945577674
dGP,Y14,salt,105026,126090,-9145,90368,6593,181386
GPF,Y14,salt,392308,473115,293817,331544,305673,446688
GPI,Y14,salt,287282,347025,302962,241176,299080,265302
L4A,Y14,salt,3.8092,NA,3.1423,3.9413,NA,3.243
L4DM,Y14,salt,4.04,NA,3.94,3.82,NA,3.57
L4FM,Y14,salt,35.11,50.09,40.01,46.16,10.39,28.73
LeafElongationFactor,Y14,salt,0.6369,0.719,0.8218,0.7573,0.5371,0.5681
LeafHorizWidth,Y14,salt,2.1772,3.2487,2.3643,2.7555,1.1906,1.9901
LeafPerimeter,Y14,salt,15.479,NA,11.9248,14.3719,8.5261,14.7604
LeafSucculence,Y14,salt,8.156568308,8.258580522,11.47885307,10.74264836,7.907057396,7.758248535
LeafVertLength,Y14,salt,3.4183,4.5183,2.8768,3.6383,2.2168,3.5029
LK,Y14,salt,71.93434181,69.74677921,62.37870807,46.17383089,142.8179825,96.97933227
LNa,Y14,salt,159.3176698,160.595291,311.8935403,302.5507794,247.2587719,218.2034976
RDM,Y14,salt,2.78,3.89,5.64,5.74,7.05,3.75
RFM,Y14,salt,37.62,55.28,58.74,53.78,73.34,48.36
RK,Y14,salt,57.40528129,59.15547772,62.33521657,54.43380516,52.64745814,NA
RL,Y14,salt,14,11.3,15,11,10.5,11.5
RNa,Y14,salt,194.4603904,203.8334306,210.4519774,160.2830974,171.594509,191.6610625
SDM,Y14,salt,19.8,25.33,24.8,19.6,22.35,23.15
SFM,Y14,salt,285.63,304.96,290.73,247.01,246.44,322.06
SL,Y14,salt,6.7,7.3,5,6.5,6,6.5
ST,Y14,salt,1.45,1.58,0.09,0.15,0.24,0.25
TDM,Y14,salt,26.62,34.29,34.38,29.16,30.67,30.47
TFM,Y14,salt,323.25,360.24,349.47,300.79,319.78,370.42
WC,Y14,salt,296.63,325.95,315.09,271.63,289.11,339.95
WCn,Y14,salt,0.917648879,0.904813458,0.901622457,0.903055288,0.904090312,0.917742023
dGP,Y14,T0,NA,NA,NA,NA,NA,NA
GPF,Y14,T0,NA,NA,NA,NA,NA,NA
GPI,Y14,T0,234132,260971,190668,237018,229276,NA
L4A,Y14,T0,NA,NA,NA,NA,NA,NA
L4DM,Y14,T0,NA,NA,NA,NA,NA,NA
L4FM,Y14,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y14,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y14,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y14,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y14,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y14,T0,NA,NA,NA,NA,NA,NA
LK,Y14,T0,NA,NA,NA,NA,NA,NA
LNa,Y14,T0,NA,NA,NA,NA,NA,NA
RDM,Y14,T0,NA,1.38,1.18,1.2,1.22,1.3
RFM,Y14,T0,15.58,19.66,18.53,16.58,19.9,18.87
RK,Y14,T0,NA,NA,NA,NA,NA,NA
RL,Y14,T0,6.8,8.5,9,7.7,9.5,9.7
RNa,Y14,T0,NA,NA,NA,NA,NA,NA
SDM,Y14,T0,9.27,10.43,9.05,9.74,10.62,9.88
SFM,Y14,T0,144.66,154.64,132.29,143.9,161.05,152.76
SL,Y14,T0,4.6,4.1,4.4,4.3,4.4,4.2
ST,Y14,T0,1.25,1.07,1.24,1.21,1.25,1.14
TDM,Y14,T0,9.79,11.81,10.23,10.94,11.84,11.18
TFM,Y14,T0,160.24,174.3,150.82,160.48,180.95,171.63
WC,Y14,T0,150.45,162.49,140.59,149.54,169.11,160.45
WCn,Y14,T0,NA,0.932243259,0.9321708,0.931829511,0.93456756,0.934859873
dGP,Y15,control,1242405,1704507,2422642,1978203,2751420,2988313
GPF,Y15,control,1466225,1986742,2705394,2279281,3022727,3311080
GPI,Y15,control,NA,282235,282752,301078,271307,322767
L4A,Y15,control,11.5991,11.9221,16.4661,18.8603,17.07,19.0451
L4DM,Y15,control,10.63,5.42,17,18.74,17.21,19.54
L4FM,Y15,control,NA,NA,178.83,207.19,192.53,216.34
LeafElongationFactor,Y15,control,0.5736,0.6422,0.6562,0.6652,0.6119,0.7215
LeafHorizWidth,Y15,control,3.9121,4.5754,5.0857,5.4599,4.7115,5.8851
LeafPerimeter,Y15,control,35.3666,36.6873,42.1059,49.0782,42.6303,52.1274
LeafSucculence,Y15,control,NA,9.487422518,9.828071006,9.991887722,10.27065026,10.33336659
LeafVertLength,Y15,control,6.8197,7.1243,7.7505,8.2074,7.6997,8.1566
LK,Y15,control,NA,137.4767925,140.5796206,136.1103741,142.0260096,118.902439
LNa,Y15,control,NA,NA,13.13106346,10.10878217,13.4610997,12.22052846
RDM,Y15,control,5.81,6.81,8.23,7.92,6.2,10.92
RFM,Y15,control,175.48,127.61,211.33,197.09,147.8,256.01
RK,Y15,control,15.61855366,8.69205298,35.69670113,42.81862875,44.49152542,51.40968624
RL,Y15,control,16.9,11.7,16,15.5,13,16
RNa,Y15,control,5.71698002,10.18211921,13.6878385,13.47993868,12.3940678,NA
SDM,Y15,control,NA,58.26,65.7,67.07,60.98,79.99
SFM,Y15,control,678.59,849.95,1231.71,1370.4,1262.8,1533.4
SL,Y15,control,6.1,NA,6.1,7,7.1,6.5
ST,Y15,control,1.97,1.15,2.42,2.44,2.71,2.55
TDM,Y15,control,57.84,70.49,90.93,93.73,84.39,110.45
TFM,Y15,control,854.07,977.56,1443.04,1567.49,1410.6,1789.41
WC,Y15,control,796.23,907.07,1352.11,1473.76,1326.21,1678.96
WCn,Y15,control,0.932277214,0.927891894,0.936987194,0.940203765,0.940174394,0.938275745
dGP,Y15,salt,-20830,324699,155430,7623,191276,213519
GPF,Y15,salt,215184,605613,449318,320407,535613,512768
GPI,Y15,salt,236014,280914,293888,312784,344337,299249
L4A,Y15,salt,2.3838,3.7611,2.5381,3.6034,3.0813,3.0487
L4DM,Y15,salt,2.64,NA,2.58,3.28,3.43,3.12
L4FM,Y15,salt,22.23,37.6,23.64,34.77,27.97,27.67
LeafElongationFactor,Y15,salt,0.629,0.7526,0.6602,0.6458,0.6992,0.6574
LeafHorizWidth,Y15,salt,1.7349,2.4833,1.888,2.1091,2.1772,2.0581
LeafPerimeter,Y15,salt,8.662,13.1678,8.9727,12.1967,12.0996,11.9248
LeafSucculence,Y15,salt,8.217971306,8.662359416,8.297545408,8.738968752,7.964170967,8.052612589
LeafVertLength,Y15,salt,2.7584,3.2999,2.8599,3.266,3.1137,3.1306
LK,Y15,salt,104.3899949,NA,101.377018,NA,107.1719641,103.4623218
LNa,Y15,salt,NA,167.1270718,159.5441595,202.9215624,124.0831296,135.6415479
RDM,Y15,salt,2.57,NA,2.91,3.03,3.46,3.05
RFM,Y15,salt,40.79,NA,43.47,46.82,41.88,47.13
RK,Y15,salt,48.14233386,49.06542056,NA,50.58232473,NA,47.64065336
RL,Y15,salt,12,15,13,11.5,11.3,13.2
RNa,Y15,salt,210.6227106,183.0218069,200.9368836,210.6645353,NA,197.3684211
SDM,Y15,salt,16.28,30.48,25.17,21.6,22.61,21.15
SFM,Y15,salt,161.98,318.38,242.85,220.22,277.47,245.7
SL,Y15,salt,4,5.5,5,4.3,4.5,4.3
ST,Y15,salt,1.29,1.29,1.37,1.29,1.41,1.42
TDM,Y15,salt,NA,NA,30.66,27.91,29.5,27.32
TFM,Y15,salt,202.77,380.73,286.32,267.04,319.35,292.83
WC,Y15,salt,181.28,340.66,255.66,239.13,289.85,265.51
WCn,Y15,salt,0.894017853,0.894754813,0.892917016,0.895483823,0.907624863,0.906703548
dGP,Y15,T0,NA,NA,NA,NA,NA,NA
GPF,Y15,T0,NA,NA,NA,NA,NA,NA
GPI,Y15,T0,201602,245039,271633,270178,247072,218822
L4A,Y15,T0,NA,NA,NA,NA,NA,NA
L4DM,Y15,T0,NA,NA,NA,NA,NA,NA
L4FM,Y15,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y15,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y15,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y15,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y15,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y15,T0,NA,NA,NA,NA,NA,NA
LK,Y15,T0,NA,NA,NA,NA,NA,NA
LNa,Y15,T0,NA,NA,NA,NA,NA,NA
RDM,Y15,T0,1.24,1.73,NA,1.22,1.23,1.08
RFM,Y15,T0,20.31,24.88,22.72,18.13,21.07,16.82
RK,Y15,T0,NA,NA,NA,NA,NA,NA
RL,Y15,T0,9.6,8.2,8.8,8.6,9.5,NA
RNa,Y15,T0,NA,NA,NA,NA,NA,NA
SDM,Y15,T0,7.44,10.7,8.77,8.5,7.98,9.5
SFM,Y15,T0,86.37,124.65,113.97,117.05,107.04,122.93
SL,Y15,T0,2.3,2.8,2.6,2.6,1.8,2.1
ST,Y15,T0,0.75,0.96,0.95,0.94,0.99,0.86
TDM,Y15,T0,8.68,12.43,12.84,9.72,9.21,10.58
TFM,Y15,T0,NA,149.53,136.69,135.18,128.11,139.75
WC,Y15,T0,NA,137.1,123.85,125.46,118.9,129.17
WCn,Y15,T0,0.918635171,0.916872868,0.906064818,0.928095872,0.928108657,0.924293381
dGP,Y16,control,1470699,1389507,1314479,1713876,894544,1844155
GPF,Y16,control,1667412,1621185,1498285,1970591,1143932,2143253
GPI,Y16,control,196713,231678,183806,256715,249388,299098
L4A,Y16,control,8.3006,13.694,12.4566,8.4249,15.8269,13.5771
L4DM,Y16,control,9.22,14.87,19.98,22.19,11.25,15.92
L4FM,Y16,control,95.31,163.45,131.3,83.23,163.1,171.26
LeafElongationFactor,Y16,control,0.6139,0.6364,0.6163,NA,0.6644,0.6763
LeafHorizWidth,Y16,control,3.4698,4.8136,4.2863,3.2317,5.3408,4.8986
LeafPerimeter,Y16,control,28.705,42.0282,38.9402,33.7935,47.4856,41.5815
LeafSucculence,Y16,control,10.37153941,10.8500073,8.936627972,7.245189854,9.594424682,11.44132399
LeafVertLength,Y16,control,5.6521,7.5643,6.9551,6.0921,8.0381,7.2428
LK,Y16,control,127.7732605,125.1850855,159.001078,198.2306684,165.9532433,120.7029741
LNa,Y16,control,12.37077477,7.605330462,8.848365074,9.338138925,7.112281857,10.33217458
RDM,Y16,control,4.97,5.7,8.27,10.71,2.8,7.47
RFM,Y16,control,172.33,200.85,36.55,122.36,78.08,137.69
RK,Y16,control,31.36950287,36.89469639,265.2050919,138.8266906,173.3528162,56.05897712
RL,Y16,control,15.9,19,18,28.2,24.5,15
RNa,Y16,control,NA,14.60415065,NA,12.44961935,13.94792774,14.59069267
SDM,Y16,control,57.65,54.24,60.92,NA,48.15,59.59
SFM,Y16,control,713.24,733.97,576.45,1039.78,725.96,1110.97
SL,Y16,control,5.2,5.2,5.1,6.6,6.4,6
ST,Y16,control,2.24,2.15,NA,1.73,1.74,2.32
TDM,Y16,control,71.84,74.81,89.17,NA,62.2,82.98
TFM,Y16,control,885.57,934.82,613,1162.14,804.04,1248.66
WC,Y16,control,813.73,860.01,523.83,1043.67,741.84,1165.68
WCn,Y16,control,0.918877107,0.919973899,NA,0.898058754,0.922640665,0.93354476
dGP,Y16,salt,207281,245070,78595,265198,236433,41136
GPF,Y16,salt,404771,433847,311462,530584,528069,366103
GPI,Y16,salt,197490,188777,232867,265386,291636,324967
L4A,Y16,salt,2.6625,3.1092,4.2165,4.1339,3.8409,1.915
L4DM,Y16,salt,3.66,4.67,5.72,5.31,4.72,2.69
L4FM,Y16,salt,27.13,34.38,53.74,44.98,40.08,21.54
LeafElongationFactor,Y16,salt,0.6907,0.6841,0.7167,0.6058,0.7801,0.6043
LeafHorizWidth,Y16,salt,2.0921,2.2112,2.8745,2.2962,2.6534,1.6159
LeafPerimeter,Y16,salt,13.0318,12.4298,16.6831,14.3525,12.9347,NA
LeafSucculence,Y16,salt,8.815023474,9.555512672,NA,9.596265028,9.206175636,9.843342037
LeafVertLength,Y16,salt,3.0291,3.2322,4.0106,3.7906,3.4014,2.6737
LK,Y16,salt,134.0008522,116.9639852,104.8521449,118.4774389,123.1617647,92.04244032
LNa,Y16,salt,155.3046442,150.959273,163.3694294,143.3072851,121.3235294,188.5941645
RDM,Y16,salt,2.62,3.39,3.12,NA,3.25,2.78
RFM,Y16,salt,31.45,40.7,48.65,NA,47.21,40.31
RK,Y16,salt,54.45716268,NA,55.78739293,NA,58.23475887,54.35651479
RL,Y16,salt,13.3,12.5,13,13.5,NA,12
RNa,Y16,salt,229.7953521,192.977754,179.5519438,189.9985357,208.1437671,202.5046629
SDM,Y16,salt,21.76,22.36,25.56,28.03,26.41,18.08
SFM,Y16,salt,244.51,269.36,264.27,340.99,322.75,200.68
SL,Y16,salt,3,3.1,4.5,5,4.2,3.5
ST,Y16,salt,1.39,1.23,1.2,1.39,1.48,1.41
TDM,Y16,salt,28.04,30.42,34.4,39.97,34.38,23.55
TFM,Y16,salt,275.96,310.06,312.92,415.91,369.96,240.99
WC,Y16,salt,247.92,279.64,278.52,375.94,335.58,217.44
WCn,Y16,salt,0.898391071,0.901889957,NA,0.903897478,0.907071035,0.902278103
dGP,Y16,T0,NA,NA,NA,NA,NA,NA
GPF,Y16,T0,NA,NA,NA,NA,NA,NA
GPI,Y16,T0,202688,261420,256067,206887,278466,273928
L4A,Y16,T0,NA,NA,NA,NA,NA,NA
L4DM,Y16,T0,NA,NA,NA,NA,NA,NA
L4FM,Y16,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y16,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y16,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y16,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y16,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y16,T0,NA,NA,NA,NA,NA,NA
LK,Y16,T0,NA,NA,NA,NA,NA,NA
LNa,Y16,T0,NA,NA,NA,NA,NA,NA
RDM,Y16,T0,NA,1.59,1.48,1.38,1.41,1.42
RFM,Y16,T0,16.47,29.45,26.85,18.3,22.72,28.1
RK,Y16,T0,NA,NA,NA,NA,NA,NA
RL,Y16,T0,8.7,7,12.6,12,7.5,10.2
RNa,Y16,T0,NA,NA,NA,NA,NA,NA
SDM,Y16,T0,NA,10.34,NA,9.7,9.83,10.14
SFM,Y16,T0,100.24,118.02,137.38,107.19,128.85,134.52
SL,Y16,T0,2.7,1.9,2.4,2.3,2.6,2.2
ST,Y16,T0,0.88,0.93,0.92,0.96,0.95,0.95
TDM,Y16,T0,NA,11.93,13.12,11.08,11.24,11.56
TFM,Y16,T0,116.71,147.47,164.23,125.49,151.57,162.62
WC,Y16,T0,108.01,135.54,151.11,114.41,140.33,151.06
WCn,Y16,T0,0.925456259,0.91910219,0.920112038,0.911706112,0.925842845,0.928914033
dGP,Y17,control,-78292,100170,-163441,-51637,-130481,-156968
GPF,Y17,control,78863,261726,7498,156937,69137,27937
GPI,Y17,control,157155,161556,170939,208574,199618,184905
L4A,Y17,control,NA,NA,NA,NA,NA,NA
L4DM,Y17,control,NA,NA,NA,NA,NA,NA
L4FM,Y17,control,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y17,control,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y17,control,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y17,control,NA,NA,NA,NA,NA,NA
LeafSucculence,Y17,control,NA,NA,NA,NA,NA,NA
LeafVertLength,Y17,control,NA,NA,NA,NA,NA,NA
LK,Y17,control,NA,NA,NA,NA,NA,NA
LNa,Y17,control,NA,NA,NA,NA,NA,NA
RDM,Y17,control,NA,NA,NA,NA,NA,NA
RFM,Y17,control,NA,NA,NA,NA,NA,NA
RK,Y17,control,NA,NA,NA,NA,NA,NA
RL,Y17,control,NA,NA,NA,NA,NA,NA
RNa,Y17,control,NA,NA,NA,NA,NA,NA
SDM,Y17,control,NA,NA,NA,NA,NA,NA
SFM,Y17,control,NA,NA,NA,NA,NA,NA
SL,Y17,control,NA,NA,NA,NA,NA,NA
ST,Y17,control,NA,NA,NA,NA,NA,NA
TDM,Y17,control,NA,NA,NA,NA,NA,NA
TFM,Y17,control,NA,NA,NA,NA,NA,NA
WC,Y17,control,NA,NA,NA,NA,NA,NA
WCn,Y17,control,NA,NA,NA,NA,NA,NA
dGP,Y17,salt,-224659,-204201,-233167,-208332,-230421,-194042
GPF,Y17,salt,14061,11735,3332,2301,14622,20780
GPI,Y17,salt,238720,215936,236499,210633,245043,214822
L4A,Y17,salt,NA,NA,NA,NA,NA,NA
L4DM,Y17,salt,NA,NA,NA,NA,NA,NA
L4FM,Y17,salt,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y17,salt,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y17,salt,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y17,salt,NA,NA,NA,NA,NA,NA
LeafSucculence,Y17,salt,NA,NA,NA,NA,NA,NA
LeafVertLength,Y17,salt,NA,NA,NA,NA,NA,NA
LK,Y17,salt,NA,NA,NA,NA,NA,NA
LNa,Y17,salt,NA,NA,NA,NA,NA,NA
RDM,Y17,salt,NA,NA,NA,NA,NA,NA
RFM,Y17,salt,NA,NA,NA,NA,NA,NA
RK,Y17,salt,NA,NA,NA,NA,NA,NA
RL,Y17,salt,NA,NA,NA,NA,NA,NA
RNa,Y17,salt,NA,NA,NA,NA,NA,NA
SDM,Y17,salt,NA,NA,NA,NA,NA,NA
SFM,Y17,salt,NA,NA,NA,NA,NA,NA
SL,Y17,salt,NA,NA,NA,NA,NA,NA
ST,Y17,salt,NA,NA,NA,NA,NA,NA
TDM,Y17,salt,NA,NA,NA,NA,NA,NA
TFM,Y17,salt,NA,NA,NA,NA,NA,NA
WC,Y17,salt,NA,NA,NA,NA,NA,NA
WCn,Y17,salt,NA,NA,NA,NA,NA,NA
dGP,Y17,T0,NA,NA,NA,NA,NA,NA
GPF,Y17,T0,NA,NA,NA,NA,NA,NA
GPI,Y17,T0,195425,235181,172788,204043,157001,171835
L4A,Y17,T0,NA,NA,NA,NA,NA,NA
L4DM,Y17,T0,NA,NA,NA,NA,NA,NA
L4FM,Y17,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y17,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y17,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y17,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y17,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y17,T0,NA,NA,NA,NA,NA,NA
LK,Y17,T0,NA,NA,NA,NA,NA,NA
LNa,Y17,T0,NA,NA,NA,NA,NA,NA
RDM,Y17,T0,0.93,0.92,1.01,NA,0.89,0.75
RFM,Y17,T0,23.76,19.73,22.68,26.37,12.88,12.11
RK,Y17,T0,NA,NA,NA,NA,NA,NA
RL,Y17,T0,12.9,9,9,10.8,8.6,7.8
RNa,Y17,T0,NA,NA,NA,NA,NA,NA
SDM,Y17,T0,5.63,6.98,6.24,7.54,4.69,4.96
SFM,Y17,T0,77.85,94.35,74.7,92.98,59.91,64.69
SL,Y17,T0,2.1,1.9,2.1,NA,1.8,NA
ST,Y17,T0,NA,0.79,0.79,0.82,0.78,0.84
TDM,Y17,T0,6.56,7.9,7.25,8.87,5.58,5.71
TFM,Y17,T0,101.61,114.08,97.38,119.35,72.79,76.8
WC,Y17,T0,95.05,106.18,90.13,110.48,67.21,71.09
WCn,Y17,T0,0.935439425,0.930750351,0.925549394,0.925680771,0.923341118,0.925651042
dGP,Y18,control,1925116,NA,2114319,1592055,1451764,1876619
GPF,Y18,control,2107312,NA,2342546,1764952,1654195,2069419
GPI,Y18,control,182196,NA,228227,172897,202431,192800
L4A,Y18,control,16.2546,15.8695,NA,14.4841,15.345,14.1286
L4DM,Y18,control,15.8,17.79,20,13.79,17.73,16.09
L4FM,Y18,control,178.77,181.91,170.64,178.75,215.06,194.04
LeafElongationFactor,Y18,control,0.5731,0.5821,0.5057,0.442,0.4902,0.6151
LeafHorizWidth,Y18,control,4.5584,NA,4.0482,3.9121,4.0311,4.6945
LeafPerimeter,Y18,control,52.1662,50.5154,39.8336,45.427,48.6509,45.8736
LeafSucculence,Y18,control,10.02608492,10.34185072,13.54798093,11.3890404,12.85956338,12.59502003
LeafVertLength,Y18,control,7.9535,10.0519,8.0043,8.8504,8.2243,7.632
LK,Y18,control,107.0749218,133.4389471,NA,106.3894277,118.5830842,123.6302332
LNa,Y18,control,7.670123336,7.555447234,11.38475836,10.42677013,10.00861501,13.62742343
RDM,Y18,control,7.82,12.44,17.04,8.41,11.22,11.05
RFM,Y18,control,172.59,248.53,NA,202.9,249.74,263.39
RK,Y18,control,43.69727499,56.33444873,60.43658669,55.27276467,61.00117391,46.36601411
RL,Y18,control,30.2,20.6,21.8,19.5,18.5,24
RNa,Y18,control,10.49948413,7.963064933,10.02551481,10.48897116,10.56515177,8.817468495
SDM,Y18,control,50.51,69.59,75.35,49.41,56.92,57.32
SFM,Y18,control,1102.55,1459.99,1559.36,1103.68,1165.12,1160.34
SL,Y18,control,6,6,5.7,5.5,5.3,5.2
ST,Y18,control,2.81,2.4,2.61,2.22,2.66,2.63
TDM,Y18,control,74.13,99.82,112.39,71.61,85.87,84.46
TFM,Y18,control,1275.14,1708.52,1964.41,1306.58,1414.86,1423.73
WC,Y18,control,1201.01,1608.7,1852.02,1234.97,1328.99,1339.27
WCn,Y18,control,0.941865207,0.941575164,0.942786893,0.945192793,0.939308483,0.940676954
dGP,Y18,salt,311486,258087,369540,132656,89817,60181
GPF,Y18,salt,541423,504574,588024,333476,363316,288086
GPI,Y18,salt,229937,246487,218484,200820,273499,227905
L4A,Y18,salt,3.8078,3.2073,NA,2.7626,NA,0.5961
L4DM,Y18,salt,4.26,3.71,5.79,3.58,5.22,NA
L4FM,Y18,salt,38.98,34.34,70.07,28.73,54.95,7.09
