Trait,AccessionNumber,Condition,rep1,rep2,rep3,rep4,rep5,rep6
LeafPerimeter,Y01,control,78.0745,69.8398,73.4522,38.8236,22.8397,38.1245
LeafSucculence,Y01,control,10.35862314,11.12581905,9.573356375,6.931674471,6.507252058,7.749168615
LeafVertLength,Y01,control,10.4919,9.8319,10.1873,6.2782,4.586,6.0244
LK,Y01,control,127.6491285,126.5119968,98.05311407,177.5147929,161.5553122,172.08413
LNa,Y01,control,6.914327796,10.23200476,9.474529818,10.60157791,NA,14.12789463
RDM,Y01,control,9.89,10.21,5.99,7.49,11.45,6.26
RFM,Y01,control,248.8,224.73,234.44,199.15,263.14,178.3
RK,Y01,control,56.5066343,58.96886071,20.79229591,56.08890744,43.70455719,39.5256917
RL,Y01,control,22.1,20.5,13.4,15.5,12.5,12
RNa,Y01,control,10.7571889,10.93138169,6.237688772,9.000313054,8.840239978,10.78237619
SDM,Y01,control,73.69,68.77,58.13,63.65,53.17,53.57
SFM,Y01,control,1553.54,1534.83,1546.7,1185.19,823.09,842.04
SL,Y01,control,5.5,5.6,6.6,6.5,4.5,4.5
ST,Y01,control,2.55,2.87,2.87,2.14,1.97,1.97
TDM,Y01,control,104.7,103.12,80.18,84.27,73.6,74.42
TFM,Y01,control,1802.34,1759.56,1781.14,1384.34,1086.23,1020.34
WC,Y01,control,1697.64,1656.44,1700.96,1300.07,1012.63,945.92
WCn,Y01,control,0.941908852,0.94139444,0.954983887,0.939126226,0.932242711,0.927063528
dGP,Y01,salt,NA,512964,482664,464233,536888,556124
GPF,Y01,salt,NA,748218,703714,723907,762198,821118
GPI,Y01,salt,208923,235254,221050,259674,225310,264994
L4A,Y01,salt,3.5153,3.4586,3.8242,4.171,3.621,4.0956
L4DM,Y01,salt,NA,3.27,3.23,3.77,3.34,3.56
L4FM,Y01,salt,28.82,27.23,32.01,36.75,33.29,36.51
LeafElongationFactor,Y01,salt,0.6105,0.6902,0.6606,0.7,0.6189,0.7226
LeafHorizWidth,Y01,salt,2.5003,2.7214,2.3813,2.6534,2.3983,2.6534
LeafPerimeter,Y01,salt,22.16,21.3443,21.5967,21.3831,20.1207,20.1595
LeafSucculence,Y01,salt,7.54700879,6.92765859,7.525757021,7.906976744,8.271195802,8.04521926
LeafVertLength,Y01,salt,4.0952,3.9429,3.6045,3.7906,3.8752,3.6722
LK,Y01,salt,118.3565775,129.590985,91.73036831,94.45118253,82.80467446,88.46737481
LNa,Y01,salt,208.8202035,234.557596,220.9867964,201.0309278,228.7145242,192.4127466
RDM,Y01,salt,5.79,3.92,2.88,3.54,4.88,4.09
RFM,Y01,salt,NA,45.25,44.68,58.09,59.35,65.15
RK,Y01,salt,NA,NA,47.6076555,53.25389551,45.07068111,55.76482149
RL,Y01,salt,22,21.7,12,14.5,12,16
RNa,Y01,salt,NA,291.5557706,194.9760766,216.7736022,239.1224527,234.6053063
SDM,Y01,salt,21.57,23.53,20.89,22.42,21.23,23.18
SFM,Y01,salt,323.86,366.56,287.96,372.36,361.72,382.66
SL,Y01,salt,3.2,4.4,3.5,3.6,3.2,3.8
ST,Y01,salt,0.14,0.19,1.23,1.15,1.22,1.28
TDM,Y01,salt,29.65,30.72,NA,29.73,29.45,30.83
TFM,Y01,salt,NA,411.81,NA,430.45,421.07,447.81
WC,Y01,salt,NA,381.09,NA,400.72,391.62,416.98
WCn,Y01,salt,NA,0.925402491,0.918831169,0.930932745,0.930059135,0.931153838
dGP,Y01,T0,NA,NA,NA,NA,NA,NA
GPF,Y01,T0,NA,NA,NA,NA,NA,NA
GPI,Y01,T0,231510,169541,227521,258818,173119,195510
L4A,Y01,T0,NA,NA,NA,NA,NA,NA
L4DM,Y01,T0,NA,NA,NA,NA,NA,NA
L4FM,Y01,T0,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y01,T0,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y01,T0,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y01,T0,NA,NA,NA,NA,NA,NA
LeafSucculence,Y01,T0,NA,NA,NA,NA,NA,NA
LeafVertLength,Y01,T0,NA,NA,NA,NA,NA,NA
LK,Y01,T0,NA,NA,NA,NA,NA,NA
