,Trait,AccessionNumber,Species,AccessionName,Condition,variable,value
1,Days_to_germination,Y01,S.cheesmaniae,LA0166,relative,rep1,6
2,Days_to_4th_leaf,Y01,S.cheesmaniae,LA0166,relative,rep1,10
3,Leaf_number,Y01,S.cheesmaniae,LA0166,relative,rep1,0.5
4,Root_length,Y01,S.cheesmaniae,LA0166,relative,rep1,0.992592593
5,Stem_length,Y01,S.cheesmaniae,LA0166,relative,rep1,0.233333333
6,Stem_thickness,Y01,S.cheesmaniae,LA0166,relative,rep1,-0.369318182
7,Shoot_fresh_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.16246884
8,Plant_fresh_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.440538906
9,Root_dry_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.557713053
10,Shoot_dry_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.228765907
11,Plant_dry_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.233949168
12,Water_content,Y01,S.cheesmaniae,LA0166,relative,rep1,0.453151289
13,Water_concentration,Y01,S.cheesmaniae,LA0166,relative,rep1,3.452547245
14,Green_pixel_count_initial,Y01,S.cheesmaniae,LA0166,relative,rep1,1.071295617
15,Green_pixel_count_final,Y01,S.cheesmaniae,LA0166,relative,rep1,0.177167881
16,Green_pixel_count_difference,Y01,S.cheesmaniae,LA0166,relative,rep1,0.116692534
17,Leaf_fresh_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.108533554
18,Leaf_dry_mass,Y01,S.cheesmaniae,LA0166,relative,rep1,0.10842803
19,Leaf_area,Y01,S.cheesmaniae,LA0166,relative,rep1,0.148979903
20,Leaf_Na_concentration,Y01,S.cheesmaniae,LA0166,relative,rep1,30.20108529
21,Leaf_K_concentration,Y01,S.cheesmaniae,LA0166,relative,rep1,0.927202394
22,Leaf_succulence,Y01,S.cheesmaniae,LA0166,relative,rep1,0.72857258
23,Leaf_perimeter,Y01,S.cheesmaniae,LA0166,relative,rep1,0.283831469
24,Leaf_vertical_length,Y01,S.cheesmaniae,LA0166,relative,rep1,0.390320152
25,Leaf_horizontal_width,Y01,S.cheesmaniae,LA0166,relative,rep1,0.368417175
26,Leaf_elongation,Y01,S.cheesmaniae,LA0166,relative,rep1,0.943877551
27,Days_to_germination,Y02,S.galapagense,LA0317,relative,rep1,6
28,Days_to_4th_leaf,Y02,S.galapagense,LA0317,relative,rep1,12
29,Leaf_number,Y02,S.galapagense,LA0317,relative,rep1,0.666666667
30,Root_length,Y02,S.galapagense,LA0317,relative,rep1,0.525
31,Stem_length,Y02,S.galapagense,LA0317,relative,rep1,0.473684211
32,Stem_thickness,Y02,S.galapagense,LA0317,relative,rep1,0.626865672
33,Root_fresh_mass,Y02,S.galapagense,LA0317,relative,rep1,0.510700689
34,Shoot_fresh_mass,Y02,S.galapagense,LA0317,relative,rep1,0.5071917
35,Plant_fresh_mass,Y02,S.galapagense,LA0317,relative,rep1,0.507700922
36,Root_dry_mass,Y02,S.galapagense,LA0317,relative,rep1,0.681914894
37,Shoot_dry_mass,Y02,S.galapagense,LA0317,relative,rep1,0.581441801
38,Plant_dry_mass,Y02,S.galapagense,LA0317,relative,rep1,0.550992724
39,Water_content,Y02,S.galapagense,LA0317,relative,rep1,0.504911154
40,Water_concentration,Y02,S.galapagense,LA0317,relative,rep1,-0.551829346
41,Green_pixel_count_initial,Y02,S.galapagense,LA0317,relative,rep1,1.309129362
42,Green_pixel_count_final,Y02,S.galapagense,LA0317,relative,rep1,0.551117668
43,Green_pixel_count_difference,Y02,S.galapagense,LA0317,relative,rep1,0.462786
44,Leaf_fresh_mass,Y02,S.galapagense,LA0317,relative,rep1,0.329389446
45,Leaf_dry_mass,Y02,S.galapagense,LA0317,relative,rep1,0.376052948
46,Leaf_area,Y02,S.galapagense,LA0317,relative,rep1,0.350816228
47,Root_Na_concentration,Y02,S.galapagense,LA0317,relative,rep1,30.29829752
48,Root_K_concentration,Y02,S.galapagense,LA0317,relative,rep1,0.892897316
49,Leaf_Na_concentration,Y02,S.galapagense,LA0317,relative,rep1,21.50237042
50,Leaf_K_concentration,Y02,S.galapagense,LA0317,relative,rep1,0.454279532
51,Leaf_succulence,Y02,S.galapagense,LA0317,relative,rep1,0.926888143
52,Leaf_perimeter,Y02,S.galapagense,LA0317,relative,rep1,0.292698909
53,Leaf_vertical_length,Y02,S.galapagense,LA0317,relative,rep1,0.471070142
54,Leaf_horizontal_width,Y02,S.galapagense,LA0317,relative,rep1,0.487186252
55,Leaf_elongation,Y02,S.galapagense,LA0317,relative,rep1,1.034264547
56,Days_to_germination,Y03,S.cheesmaniae,LA0421,relative,rep1,4
57,Days_to_4th_leaf,Y03,S.cheesmaniae,LA0421,relative,rep1,11
58,Leaf_number,Y03,S.cheesmaniae,LA0421,relative,rep1,0.5
59,Root_length,Y03,S.cheesmaniae,LA0421,relative,rep1,0.263565891
60,Stem_length,Y03,S.cheesmaniae,LA0421,relative,rep1,0.553191489
61,Stem_thickness,Y03,S.cheesmaniae,LA0421,relative,rep1,0.593103448
62,Root_fresh_mass,Y03,S.cheesmaniae,LA0421,relative,rep1,0.208278333
63,Shoot_fresh_mass,Y03,S.cheesmaniae,LA0421,relative,rep1,0.33638839
64,Plant_fresh_mass,Y03,S.cheesmaniae,LA0421,relative,rep1,0.308890493
65,Root_dry_mass,Y03,S.cheesmaniae,LA0421,relative,rep1,0.338485317
66,Shoot_dry_mass,Y03,S.cheesmaniae,LA0421,relative,rep1,0.307596202
67,Plant_dry_mass,Y03,S.cheesmaniae,LA0421,relative,rep1,0.280466526
68,Water_content,Y03,S.cheesmaniae,LA0421,relative,rep1,0.311143955
69,Water_concentration,Y03,S.cheesmaniae,LA0421,relative,rep1,1.062048911
70,Green_pixel_count_initial,Y03,S.cheesmaniae,LA0421,relative,rep1,1.02190808
71,Green_pixel_count_final,Y03,S.cheesmaniae,LA0421,relative,rep1,0.268832498
72,Green_pixel_count_difference,Y03,S.cheesmaniae,LA0421,relative,rep1,0.215595922
73,Leaf_fresh_mass,Y03,S.cheesmaniae,LA0421,relative,rep1,0.182476785
74,Leaf_dry_mass,Y03,S.cheesmaniae,LA0421,relative,rep1,0.166666667
75,Root_Na_concentration,Y03,S.cheesmaniae,LA0421,relative,rep1,26.5367517
76,Root_K_concentration,Y03,S.cheesmaniae,LA0421,relative,rep1,0.634803249
77,Leaf_Na_concentration,Y03,S.cheesmaniae,LA0421,relative,rep1,27.51069005
78,Leaf_K_concentration,Y03,S.cheesmaniae,LA0421,relative,rep1,0.51876955
79,Leaf_succulence,Y03,S.cheesmaniae,LA0421,relative,rep1,1.041801782
80,Leaf_perimeter,Y03,S.cheesmaniae,LA0421,relative,rep1,0.310556969
81,Leaf_vertical_length,Y03,S.cheesmaniae,LA0421,relative,rep1,0.516003027
82,Leaf_horizontal_width,Y03,S.cheesmaniae,LA0421,relative,rep1,0.479414155
83,Leaf_elongation,Y03,S.cheesmaniae,LA0421,relative,rep1,0.928993163
84,Days_to_germination,Y04,S.cheesmaniae,LA0422,relative,rep1,4
85,Days_to_4th_leaf,Y04,S.cheesmaniae,LA0422,relative,rep1,11
86,Leaf_number,Y04,S.cheesmaniae,LA0422,relative,rep1,0.666666667
87,Root_length,Y04,S.cheesmaniae,LA0422,relative,rep1,0.888888889
88,Stem_length,Y04,S.cheesmaniae,LA0422,relative,rep1,0.583333333
89,Stem_thickness,Y04,S.cheesmaniae,LA0422,relative,rep1,0.703703704
90,Root_fresh_mass,Y04,S.cheesmaniae,LA0422,relative,rep1,0.300505902
91,Root_dry_mass,Y04,S.cheesmaniae,LA0422,relative,rep1,0.692532943
92,Shoot_dry_mass,Y04,S.cheesmaniae,LA0422,relative,rep1,0.466653355
93,Water_concentration,Y04,S.cheesmaniae,LA0422,relative,rep1,1.199842281
94,Green_pixel_count_initial,Y04,S.cheesmaniae,LA0422,relative,rep1,1.080307438
95,Green_pixel_count_final,Y04,S.cheesmaniae,LA0422,relative,rep1,0.396585541
96,Green_pixel_count_difference,Y04,S.cheesmaniae,LA0422,relative,rep1,0.343971297
97,Root_Na_concentration,Y04,S.cheesmaniae,LA0422,relative,rep1,23.74668804
98,Leaf_Na_concentration,Y04,S.cheesmaniae,LA0422,relative,rep1,14.27812127
99,Leaf_K_concentration,Y04,S.cheesmaniae,LA0422,relative,rep1,0.421731994
100,Leaf_horizontal_width,Y04,S.cheesmaniae,LA0422,relative,rep1,0.609511189
101,Leaf_elongation,Y04,S.cheesmaniae,LA0422,relative,rep1,1.015918739
102,Days_to_germination,Y05,S.galapagense,LA0426,relative,rep1,6
103,Days_to_4th_leaf,Y05,S.galapagense,LA0426,relative,rep1,12
104,Leaf_number,Y05,S.galapagense,LA0426,relative,rep1,0.666666667
105,Root_length,Y05,S.galapagense,LA0426,relative,rep1,0.635416667
106,Stem_length,Y05,S.galapagense,LA0426,relative,rep1,0.55
107,Stem_thickness,Y05,S.galapagense,LA0426,relative,rep1,0.472222222
108,Root_fresh_mass,Y05,S.galapagense,LA0426,relative,rep1,0.190449945
109,Shoot_fresh_mass,Y05,S.galapagense,LA0426,relative,rep1,0.330984406
110,Plant_fresh_mass,Y05,S.galapagense,LA0426,relative,rep1,0.299792035
111,Root_dry_mass,Y05,S.galapagense,LA0426,relative,rep1,0.329614604
112,Shoot_dry_mass,Y05,S.galapagense,LA0426,relative,rep1,0.40138191
113,Plant_dry_mass,Y05,S.galapagense,LA0426,relative,rep1,0.371072797
114,Water_content,Y05,S.galapagense,LA0426,relative,rep1,0.295399001
115,Water_concentration,Y05,S.galapagense,LA0426,relative,rep1,0.259463456
116,Green_pixel_count_initial,Y05,S.galapagense,LA0426,relative,rep1,1.023526878
117,Green_pixel_count_final,Y05,S.galapagense,LA0426,relative,rep1,0.458438977
118,Green_pixel_count_difference,Y05,S.galapagense,LA0426,relative,rep1,0.364448539
119,Leaf_fresh_mass,Y05,S.galapagense,LA0426,relative,rep1,0.296840496
120,Leaf_dry_mass,Y05,S.galapagense,LA0426,relative,rep1,0.318095238
121,Leaf_area,Y05,S.galapagense,LA0426,relative,rep1,0.374977506
122,Root_Na_concentration,Y05,S.galapagense,LA0426,relative,rep1,20.62011265
123,Root_K_concentration,Y05,S.galapagense,LA0426,relative,rep1,3.033117576
124,Leaf_Na_concentration,Y05,S.galapagense,LA0426,relative,rep1,15.28546597
125,Leaf_K_concentration,Y05,S.galapagense,LA0426,relative,rep1,0.400418795
126,Leaf_succulence,Y05,S.galapagense,LA0426,relative,rep1,0.786072267
127,Leaf_perimeter,Y05,S.galapagense,LA0426,relative,rep1,0.389965597
128,Leaf_vertical_length,Y05,S.galapagense,LA0426,relative,rep1,0.51732561
129,Leaf_horizontal_width,Y05,S.galapagense,LA0426,relative,rep1,0.495456975
130,Leaf_elongation,Y05,S.galapagense,LA0426,relative,rep1,0.957792801
131,Days_to_germination,Y06,S.cheesmaniae,LA0428,relative,rep1,4
132,Days_to_4th_leaf,Y06,S.cheesmaniae,LA0428,relative,rep1,11
133,Leaf_number,Y06,S.cheesmaniae,LA0428,relative,rep1,0.5
134,Root_length,Y06,S.cheesmaniae,LA0428,relative,rep1,1.192307692
135,Stem_thickness,Y06,S.cheesmaniae,LA0428,relative,rep1,0.340611354
136,Root_fresh_mass,Y06,S.cheesmaniae,LA0428,relative,rep1,0.240196273
137,Shoot_fresh_mass,Y06,S.cheesmaniae,LA0428,relative,rep1,0.269416065
138,Plant_fresh_mass,Y06,S.cheesmaniae,LA0428,relative,rep1,0.264825132
139,Root_dry_mass,Y06,S.cheesmaniae,LA0428,relative,rep1,0.466232227
140,Shoot_dry_mass,Y06,S.cheesmaniae,LA0428,relative,rep1,0.321764911
141,Plant_dry_mass,Y06,S.cheesmaniae,LA0428,relative,rep1,0.329681453
142,Water_content,Y06,S.cheesmaniae,LA0428,relative,rep1,0.261237195
143,Water_concentration,Y06,S.cheesmaniae,LA0428,relative,rep1,0.454954136
144,Green_pixel_count_initial,Y06,S.cheesmaniae,LA0428,relative,rep1,1.182921611
145,Green_pixel_count_final,Y06,S.cheesmaniae,LA0428,relative,rep1,0.207793918
146,Green_pixel_count_difference,Y06,S.cheesmaniae,LA0428,relative,rep1,0.150988218
147,Leaf_fresh_mass,Y06,S.cheesmaniae,LA0428,relative,rep1,0.326820293
148,Leaf_dry_mass,Y06,S.cheesmaniae,LA0428,relative,rep1,0.291288816
149,Leaf_area,Y06,S.cheesmaniae,LA0428,relative,rep1,0.234190976
150,Root_Na_concentration,Y06,S.cheesmaniae,LA0428,relative,rep1,13.44990584
151,Root_K_concentration,Y06,S.cheesmaniae,LA0428,relative,rep1,1.462508441
152,Leaf_Na_concentration,Y06,S.cheesmaniae,LA0428,relative,rep1,11.96456348
153,Leaf_K_concentration,Y06,S.cheesmaniae,LA0428,relative,rep1,0.236258488
154,Leaf_succulence,Y06,S.cheesmaniae,LA0428,relative,rep1,1.408670369
155,Leaf_perimeter,Y06,S.cheesmaniae,LA0428,relative,rep1,0.309442981
156,Leaf_vertical_length,Y06,S.cheesmaniae,LA0428,relative,rep1,0.437761891
157,Leaf_horizontal_width,Y06,S.cheesmaniae,LA0428,relative,rep1,0.486842614
158,Leaf_elongation,Y06,S.cheesmaniae,LA0428,relative,rep1,1.112168487
159,Days_to_germination,Y07,S.cheesmaniae,LA0429,relative,rep1,5
160,Days_to_4th_leaf,Y07,S.cheesmaniae,LA0429,relative,rep1,11
161,Leaf_number,Y07,S.cheesmaniae,LA0429,relative,rep1,0.5
162,Root_length,Y07,S.cheesmaniae,LA0429,relative,rep1,0.759036145
163,Stem_length,Y07,S.cheesmaniae,LA0429,relative,rep1,0.512195122
164,Stem_thickness,Y07,S.cheesmaniae,LA0429,relative,rep1,-0.21399177
165,Root_fresh_mass,Y07,S.cheesmaniae,LA0429,relative,rep1,0.327401817
166,Shoot_fresh_mass,Y07,S.cheesmaniae,LA0429,relative,rep1,0.214502753
167,Plant_fresh_mass,Y07,S.cheesmaniae,LA0429,relative,rep1,0.229106799
168,Root_dry_mass,Y07,S.cheesmaniae,LA0429,relative,rep1,0.366435386
169,Shoot_dry_mass,Y07,S.cheesmaniae,LA0429,relative,rep1,0.236671001
170,Plant_dry_mass,Y07,S.cheesmaniae,LA0429,relative,rep1,0.243377969
171,Water_content,Y07,S.cheesmaniae,LA0429,relative,rep1,0.228210457
172,Water_concentration,Y07,S.cheesmaniae,LA0429,relative,rep1,0.650824366
173,Green_pixel_count_initial,Y07,S.cheesmaniae,LA0429,relative,rep1,1.152823306
174,Green_pixel_count_final,Y07,S.cheesmaniae,LA0429,relative,rep1,0.294319809
175,Green_pixel_count_difference,Y07,S.cheesmaniae,LA0429,relative,rep1,0.238635713
176,Leaf_fresh_mass,Y07,S.cheesmaniae,LA0429,relative,rep1,0.143981222
177,Leaf_dry_mass,Y07,S.cheesmaniae,LA0429,relative,rep1,0.190973202
178,Leaf_area,Y07,S.cheesmaniae,LA0429,relative,rep1,0.189160586
179,Root_K_concentration,Y07,S.cheesmaniae,LA0429,relative,rep1,0.434059904
180,Leaf_Na_concentration,Y07,S.cheesmaniae,LA0429,relative,rep1,13.29271203
181,Leaf_K_concentration,Y07,S.cheesmaniae,LA0429,relative,rep1,0.91123684
182,Leaf_succulence,Y07,S.cheesmaniae,LA0429,relative,rep1,0.73521565
183,Leaf_perimeter,Y07,S.cheesmaniae,LA0429,relative,rep1,0.356946217
184,Leaf_vertical_length,Y07,S.cheesmaniae,LA0429,relative,rep1,0.438845006
185,Leaf_horizontal_width,Y07,S.cheesmaniae,LA0429,relative,rep1,0.413620954
186,Leaf_elongation,Y07,S.cheesmaniae,LA0429,relative,rep1,0.942462988
187,Days_to_germination,Y08,S.cheesmaniae,LA0434,relative,rep1,6
188,Days_to_4th_leaf,Y08,S.cheesmaniae,LA0434,relative,rep1,11
189,Leaf_number,Y08,S.cheesmaniae,LA0434,relative,rep1,0.666666667
190,Root_length,Y08,S.cheesmaniae,LA0434,relative,rep1,0.357142857
191,Stem_length,Y08,S.cheesmaniae,LA0434,relative,rep1,0.44
192,Stem_thickness,Y08,S.cheesmaniae,LA0434,relative,rep1,0.244444444
193,Root_fresh_mass,Y08,S.cheesmaniae,LA0434,relative,rep1,0.216972759
194,Shoot_fresh_mass,Y08,S.cheesmaniae,LA0434,relative,rep1,0.325699808
195,Plant_fresh_mass,Y08,S.cheesmaniae,LA0434,relative,rep1,0.309103225
196,Root_dry_mass,Y08,S.cheesmaniae,LA0434,relative,rep1,0.348484848
197,Shoot_dry_mass,Y08,S.cheesmaniae,LA0434,relative,rep1,0.376380221
198,Plant_dry_mass,Y08,S.cheesmaniae,LA0434,relative,rep1,0.345257106
199,Water_content,Y08,S.cheesmaniae,LA0434,relative,rep1,0.306579109
200,Water_concentration,Y08,S.cheesmaniae,LA0434,relative,rep1,0.46772932
201,Green_pixel_count_initial,Y08,S.cheesmaniae,LA0434,relative,rep1,1.199772586
202,Green_pixel_count_final,Y08,S.cheesmaniae,LA0434,relative,rep1,0.578109627
203,Green_pixel_count_difference,Y08,S.cheesmaniae,LA0434,relative,rep1,0.468562152
204,Leaf_fresh_mass,Y08,S.cheesmaniae,LA0434,relative,rep1,0.207877293
205,Leaf_dry_mass,Y08,S.cheesmaniae,LA0434,relative,rep1,0.248905109
206,Leaf_area,Y08,S.cheesmaniae,LA0434,relative,rep1,0.252355186
207,Root_Na_concentration,Y08,S.cheesmaniae,LA0434,relative,rep1,13.71710728
208,Root_K_concentration,Y08,S.cheesmaniae,LA0434,relative,rep1,1.33367638
209,Leaf_Na_concentration,Y08,S.cheesmaniae,LA0434,relative,rep1,22.65636673
210,Leaf_K_concentration,Y08,S.cheesmaniae,LA0434,relative,rep1,0.64501569
211,Leaf_succulence,Y08,S.cheesmaniae,LA0434,relative,rep1,0.804554247
212,Leaf_perimeter,Y08,S.cheesmaniae,LA0434,relative,rep1,0.393092735
213,Leaf_vertical_length,Y08,S.cheesmaniae,LA0434,relative,rep1,0.428884716
214,Leaf_horizontal_width,Y08,S.cheesmaniae,LA0434,relative,rep1,0.482324474
215,Leaf_elongation,Y08,S.cheesmaniae,LA0434,relative,rep1,1.124676073
216,Days_to_germination,Y09,S.galapagense,LA0436,relative,rep1,4
217,Days_to_4th_leaf,Y09,S.galapagense,LA0436,relative,rep1,12
218,Leaf_number,Y09,S.galapagense,LA0436,relative,rep1,0.25
219,Root_length,Y09,S.galapagense,LA0436,relative,rep1,0.475308642
220,Stem_length,Y09,S.galapagense,LA0436,relative,rep1,0.256410256
221,Stem_thickness,Y09,S.galapagense,LA0436,relative,rep1,0.038961039
222,Root_fresh_mass,Y09,S.galapagense,LA0436,relative,rep1,0.420663195
223,Shoot_fresh_mass,Y09,S.galapagense,LA0436,relative,rep1,0.210434301
224,Plant_fresh_mass,Y09,S.galapagense,LA0436,relative,rep1,0.228628576
225,Root_dry_mass,Y09,S.galapagense,LA0436,relative,rep1,0.820574163
226,Shoot_dry_mass,Y09,S.galapagense,LA0436,relative,rep1,0.414079687
227,Plant_dry_mass,Y09,S.galapagense,LA0436,relative,rep1,0.437313695
228,Water_content,Y09,S.galapagense,LA0436,relative,rep1,0.218775355
229,Water_concentration,Y09,S.galapagense,LA0436,relative,rep1,-0.605875316
230,Green_pixel_count_final,Y09,S.galapagense,LA0436,relative,rep1,0.149271602
231,Leaf_fresh_mass,Y09,S.galapagense,LA0436,relative,rep1,0.23768289
232,Leaf_dry_mass,Y09,S.galapagense,LA0436,relative,rep1,0.382747069
233,Leaf_area,Y09,S.galapagense,LA0436,relative,rep1,0.230740698
234,Root_Na_concentration,Y09,S.galapagense,LA0436,relative,rep1,21.49630135
235,Root_K_concentration,Y09,S.galapagense,LA0436,relative,rep1,2.761828947
236,Leaf_Na_concentration,Y09,S.galapagense,LA0436,relative,rep1,23.92007911
237,Leaf_K_concentration,Y09,S.galapagense,LA0436,relative,rep1,0.610667237
238,Leaf_succulence,Y09,S.galapagense,LA0436,relative,rep1,0.981816032
239,Leaf_perimeter,Y09,S.galapagense,LA0436,relative,rep1,0.244357572
240,Leaf_vertical_length,Y09,S.galapagense,LA0436,relative,rep1,0.390488981
241,Leaf_horizontal_width,Y09,S.galapagense,LA0436,relative,rep1,0.471625735
242,Leaf_elongation,Y09,S.galapagense,LA0436,relative,rep1,1.207821038
243,Days_to_germination,Y10,S.cheesmaniae,LA0437,relative,rep1,5
244,Days_to_4th_leaf,Y10,S.cheesmaniae,LA0437,relative,rep1,13
245,Leaf_number,Y10,S.cheesmaniae,LA0437,relative,rep1,0.5
246,Root_length,Y10,S.cheesmaniae,LA0437,relative,rep1,0.605633803
247,Stem_length,Y10,S.cheesmaniae,LA0437,relative,rep1,0.418604651
248,Stem_thickness,Y10,S.cheesmaniae,LA0437,relative,rep1,0.627586207
249,Root_fresh_mass,Y10,S.cheesmaniae,LA0437,relative,rep1,0.154939192
250,Shoot_fresh_mass,Y10,S.cheesmaniae,LA0437,relative,rep1,0.267796464
251,Plant_fresh_mass,Y10,S.cheesmaniae,LA0437,relative,rep1,0.245634505
252,Root_dry_mass,Y10,S.cheesmaniae,LA0437,relative,rep1,0.244008715
253,Shoot_dry_mass,Y10,S.cheesmaniae,LA0437,relative,rep1,0.329561712
254,Plant_dry_mass,Y10,S.cheesmaniae,LA0437,relative,rep1,0.311400875
255,Water_content,Y10,S.cheesmaniae,LA0437,relative,rep1,0.241594291
256,Water_concentration,Y10,S.cheesmaniae,LA0437,relative,rep1,-0.521046463
257,Green_pixel_count_initial,Y10,S.cheesmaniae,LA0437,relative,rep1,0.995322819
258,Green_pixel_count_final,Y10,S.cheesmaniae,LA0437,relative,rep1,0.409363477
259,Green_pixel_count_difference,Y10,S.cheesmaniae,LA0437,relative,rep1,0.349435763
260,Leaf_fresh_mass,Y10,S.cheesmaniae,LA0437,relative,rep1,0.235339006
261,Leaf_dry_mass,Y10,S.cheesmaniae,LA0437,relative,rep1,0.303939962
262,Leaf_area,Y10,S.cheesmaniae,LA0437,relative,rep1,0.306256425
263,Root_Na_concentration,Y10,S.cheesmaniae,LA0437,relative,rep1,14.58456453
264,Root_K_concentration,Y10,S.cheesmaniae,LA0437,relative,rep1,0.596154379
265,Leaf_Na_concentration,Y10,S.cheesmaniae,LA0437,relative,rep1,28.1433144
266,Leaf_K_concentration,Y10,S.cheesmaniae,LA0437,relative,rep1,0.539629901
267,Leaf_succulence,Y10,S.cheesmaniae,LA0437,relative,rep1,0.748602885
268,Leaf_perimeter,Y10,S.cheesmaniae,LA0437,relative,rep1,0.421312898
269,Leaf_vertical_length,Y10,S.cheesmaniae,LA0437,relative,rep1,0.453835057
270,Leaf_horizontal_width,Y10,S.cheesmaniae,LA0437,relative,rep1,0.540740633
271,Leaf_elongation,Y10,S.cheesmaniae,LA0437,relative,rep1,1.191522763
272,Days_to_germination,Y11,S.galapagense,LA0438,relative,rep1,5
273,Days_to_4th_leaf,Y11,S.galapagense,LA0438,relative,rep1,14
274,Leaf_number,Y11,S.galapagense,LA0438,relative,rep1,0.333333333
275,Root_length,Y11,S.galapagense,LA0438,relative,rep1,0.789915966
276,Stem_length,Y11,S.galapagense,LA0438,relative,rep1,0.189189189
277,Stem_thickness,Y11,S.galapagense,LA0438,relative,rep1,0.201117318
278,Root_fresh_mass,Y11,S.galapagense,LA0438,relative,rep1,0.188119567
279,Shoot_fresh_mass,Y11,S.galapagense,LA0438,relative,rep1,0.128956634
280,Plant_fresh_mass,Y11,S.galapagense,LA0438,relative,rep1,0.135024793
281,Root_dry_mass,Y11,S.galapagense,LA0438,relative,rep1,0.42278481
282,Shoot_dry_mass,Y11,S.galapagense,LA0438,relative,rep1,0.24064026
283,Plant_dry_mass,Y11,S.galapagense,LA0438,relative,rep1,0.230681168
284,Water_content,Y11,S.galapagense,LA0438,relative,rep1,0.130936167
285,Water_concentration,Y11,S.galapagense,LA0438,relative,rep1,0.020092301
286,Green_pixel_count_initial,Y11,S.galapagense,LA0438,relative,rep1,1.098913186
287,Green_pixel_count_final,Y11,S.galapagense,LA0438,relative,rep1,0.227506722
288,Green_pixel_count_difference,Y11,S.galapagense,LA0438,relative,rep1,0.130165893
289,Leaf_fresh_mass,Y11,S.galapagense,LA0438,relative,rep1,0.05410069
290,Leaf_dry_mass,Y11,S.galapagense,LA0438,relative,rep1,0.13362069
291,Leaf_area,Y11,S.galapagense,LA0438,relative,rep1,0.065124366
292,Leaf_Na_concentration,Y11,S.galapagense,LA0438,relative,rep1,34.57672586
293,Leaf_K_concentration,Y11,S.galapagense,LA0438,relative,rep1,1.606379855
294,Leaf_succulence,Y11,S.galapagense,LA0438,relative,rep1,0.754347495
295,Leaf_perimeter,Y11,S.galapagense,LA0438,relative,rep1,0.116770157
296,Leaf_vertical_length,Y11,S.galapagense,LA0438,relative,rep1,0.196188782
297,Leaf_horizontal_width,Y11,S.galapagense,LA0438,relative,rep1,0.21036028
298,Leaf_elongation,Y11,S.galapagense,LA0438,relative,rep1,1.072133758
299,Days_to_germination,Y12,S.galapagense,LA0480A,relative,rep1,5
300,Days_to_4th_leaf,Y12,S.galapagense,LA0480A,relative,rep1,12
301,Leaf_number,Y12,S.galapagense,LA0480A,relative,rep1,0.666666667
302,Root_length,Y12,S.galapagense,LA0480A,relative,rep1,0.141304348
303,Stem_length,Y12,S.galapagense,LA0480A,relative,rep1,0.454545455
304,Stem_thickness,Y12,S.galapagense,LA0480A,relative,rep1,0.366666667
305,Root_fresh_mass,Y12,S.galapagense,LA0480A,relative,rep1,0.212799858
306,Shoot_fresh_mass,Y12,S.galapagense,LA0480A,relative,rep1,0.343321272
307,Plant_fresh_mass,Y12,S.galapagense,LA0480A,relative,rep1,0.319907584
308,Root_dry_mass,Y12,S.galapagense,LA0480A,relative,rep1,0.362478778
309,Shoot_dry_mass,Y12,S.galapagense,LA0480A,relative,rep1,0.379876797
310,Plant_dry_mass,Y12,S.galapagense,LA0480A,relative,rep1,0.348720654
311,Water_content,Y12,S.galapagense,LA0480A,relative,rep1,0.318062009
312,Green_pixel_count_initial,Y12,S.galapagense,LA0480A,relative,rep1,1.120308099
313,Green_pixel_count_final,Y12,S.galapagense,LA0480A,relative,rep1,0.519716649
314,Green_pixel_count_difference,Y12,S.galapagense,LA0480A,relative,rep1,0.453142533
315,Leaf_fresh_mass,Y12,S.galapagense,LA0480A,relative,rep1,0.39847401
316,Leaf_dry_mass,Y12,S.galapagense,LA0480A,relative,rep1,0.239243807
317,Leaf_area,Y12,S.galapagense,LA0480A,relative,rep1,0.465018491
318,Root_Na_concentration,Y12,S.galapagense,LA0480A,relative,rep1,32.19801588
319,Root_K_concentration,Y12,S.galapagense,LA0480A,relative,rep1,0.760389357
320,Leaf_Na_concentration,Y12,S.galapagense,LA0480A,relative,rep1,19.66561559
321,Leaf_K_concentration,Y12,S.galapagense,LA0480A,relative,rep1,0.271230746
322,Leaf_succulence,Y12,S.galapagense,LA0480A,relative,rep1,0.915581837
323,Leaf_perimeter,Y12,S.galapagense,LA0480A,relative,rep1,0.385106448
324,Leaf_vertical_length,Y12,S.galapagense,LA0480A,relative,rep1,0.485574669
325,Leaf_horizontal_width,Y12,S.galapagense,LA0480A,relative,rep1,0.612159675
326,Leaf_elongation,Y12,S.galapagense,LA0480A,relative,rep1,1.260491201
327,Days_to_germination,Y13,S.galapagense,LA0483,relative,rep1,5
328,Leaf_number,Y13,S.galapagense,LA0483,relative,rep1,0.666666667
329,Root_length,Y13,S.galapagense,LA0483,relative,rep1,0.305555556
330,Stem_length,Y13,S.galapagense,LA0483,relative,rep1,0.5625
331,Stem_thickness,Y13,S.galapagense,LA0483,relative,rep1,0.079069767
332,Root_fresh_mass,Y13,S.galapagense,LA0483,relative,rep1,0.207334224
