Trait,AccessionNumber,AccessionName,rep1,rep2,rep3,rep4,rep5,rep6
LeafElongationFactor,Y09,LA0436,1.207821038,1.208267342,1.15792235,0.942839676,0.866656366,1.079321742
DG,Y10,LA0437,5,5,5,5,5,5
DL4,Y10,LA0437,13,13,13,13,13,13
DH,Y10,LA0437,11,11,11,11,11,11
LN,Y10,LA0437,0.5,0.5,NA,NA,0.5,0.5
RL,Y10,LA0437,0.605633803,0.715909091,NA,NA,0.807692308,0.456140351
SL,Y10,LA0437,0.418604651,0.285714286,0.696969697,0.268292683,0.583333333,0.272727273
ST,Y10,LA0437,0.627586207,0.190140845,0.489051095,0.486666667,0.834951456,0.329059829
RFM,Y10,LA0437,0.154939192,0.236174147,0.27040855,0.057515189,0.274789576,0.246788748
SFM,Y10,LA0437,0.267796464,0.349658606,0.412385625,0.171120472,0.287131766,0.202846472
TFM,Y10,LA0437,0.245634505,0.328130232,0.384684778,0.148215801,0.28473976,0.209285797
RDM,Y10,LA0437,0.244008715,0.365243902,0.451612903,0.109418283,0.391616106,0.239714756
SDM,Y10,LA0437,0.329561712,0.498796631,0.568865979,0.215036563,0.331339457,0.258424531
TDM,Y10,LA0437,0.311400875,0.462238835,0.5238808,0.197117584,0.350025851,0.25485756
WC,Y10,LA0437,0.241594291,0.320256804,0.376686032,0.145272906,0.28064247,0.206430144
WCn,Y10,LA0437,-0.521046463,-0.440013085,-0.337870453,-0.927993571,-0.235226583,-0.858843491
GPI,Y10,LA0437,0.995322819,1.164458788,1.032334916,0.785062034,1.155710506,0.710131124
GPF,Y10,LA0437,0.409363477,0.458302785,0.533973547,0.223331727,0.3321933,0.245061109
dGP,Y10,LA0437,0.349435763,0.382314205,0.468280954,0.175862863,0.276134899,0.204928984
L4FM,Y10,LA0437,0.235339006,0.327462565,0.321396192,0.144719781,0.403120079,0.230052057
L4DM,Y10,LA0437,0.303939962,0.423112768,0.425035361,0.212204007,0.39213198,0.252843063
L4A,Y10,LA0437,0.306256425,0.372216931,0.362841187,0.192346121,0.409728184,0.190276491
RNa,Y10,LA0437,14.58456453,15.91174556,NA,13.21236371,10.002458,12.13309902
RK,Y10,LA0437,0.596154379,0.536469232,NA,0.412487091,0.664471332,0.457331026
LNa,Y10,LA0437,28.1433144,33.0397562,19.12619329,17.5500044,25.67626752,21.94719711
LK,Y10,LA0437,0.539629901,0.477125155,0.500989072,0.60081735,0.335668636,0.338552834
LeafSucculence,Y10,LA0437,0.748602885,0.857496481,0.860897585,0.722258677,0.986413685,1.198966106
LeafPerimeter,Y10,LA0437,0.421312898,0.448548978,0.452882684,0.328631778,0.410790334,0.273324064
LeafVertLength,Y10,LA0437,0.453835057,0.468458728,0.476281878,0.359355282,0.5,0.409497006
LeafHorizWidth,Y10,LA0437,0.540740633,0.641178607,0.619665369,0.434060698,0.526171604,0.536811529
LeafElongationFactor,Y10,LA0437,1.191522763,1.368831169,1.301036825,1.208054937,1.052288732,1.310927047
DG,Y11,LA0438,5,5,5,5,5,5
DL4,Y11,LA0438,14,14,14,15,15,16
DH,Y11,LA0438,11,11,11,11,11,11
LN,Y11,LA0438,0.333333333,0.333333333,0.333333333,NA,0.25,NA
RL,Y11,LA0438,0.789915966,0.189655172,0.167701863,0.166666667,0.852631579,0.272727273
SL,Y11,LA0438,0.189189189,NA,0.289473684,0.206896552,NA,0.294117647
ST,Y11,LA0438,0.201117318,0.13253012,NA,0.269503546,0.1484375,0.393103448
RFM,Y11,LA0438,0.188119567,0.095460948,NA,0.134055857,0.244293209,NA
SFM,Y11,LA0438,0.128956634,0.077243747,0.079136268,0.114748777,0.07906791,NA
TFM,Y11,LA0438,0.135024793,0.08096835,0.084125046,0.117105839,0.092435818,NA
RDM,Y11,LA0438,0.42278481,0.22953451,0.131299735,0.307511737,0.76618705,1.251282051
SDM,Y11,LA0438,0.24064026,0.092339261,0.118318867,0.04812688,0.053079103,0.435251799
TDM,Y11,LA0438,0.230681168,0.149563319,0.11713456,0.117712177,0.14406083,NA
WC,Y11,LA0438,0.130936167,0.077920188,0.081960797,0.117070438,0.089383778,NA
WCn,Y11,LA0438,0.020092301,-0.170614197,NA,0.615708776,-0.7718143,-0.640255046
GPI,Y11,LA0438,1.098913186,1.154407749,1.13398413,1.215980136,1.142272734,NA
GPF,Y11,LA0438,0.227506722,0.094875246,0.124156485,0.203122781,0.19617934,NA
dGP,Y11,LA0438,0.130165893,0.011242251,0.046912746,0.094272936,0.112278493,NA
L4FM,Y11,LA0438,0.05410069,0.210672822,0.057235509,0.336803748,0.378863787,0.257482871
L4DM,Y11,LA0438,0.13362069,0.263310745,0.102251407,0.247569185,0.398868458,0.338064516
L4A,Y11,LA0438,0.065124366,0.182993464,0.060620863,0.22962036,0.312960809,0.25109543
RNa,Y11,LA0438,NA,24.07626725,NA,25.24504964,26.63911198,26.69041803
RK,Y11,LA0438,NA,1.361293228,NA,1.120564552,1.546008524,1.580085404
LNa,Y11,LA0438,34.57672586,27.42605444,18.58263684,42.01100311,34.26209001,43.36737887
LK,Y11,LA0438,1.606379855,0.338496089,1.209003005,0.251061505,0.231481764,0.444212919
LeafSucculence,Y11,LA0438,0.754347495,1.129563221,0.873910253,1.499356799,1.206001221,1.001331165
LeafPerimeter,Y11,LA0438,0.116770157,0.251727979,0.109609169,0.296924045,0.371158083,0.287691457
LeafVertLength,Y11,LA0438,0.196188782,0.371884547,0.202159855,0.369660467,0.472296878,0.394548147
LeafHorizWidth,Y11,LA0438,0.21036028,0.403569554,0.210984595,0.482767709,0.623755748,0.49193969
LeafElongationFactor,Y11,LA0438,1.072133758,1.085239737,1.043606915,1.306037251,1.320831221,1.246887631
DG,Y12,LA0480A,5,5,5,5,5,5
DL4,Y12,LA0480A,12,12,12,13,13,13
DH,Y12,LA0480A,11,11,11,11,11,11
LN,Y12,LA0480A,0.666666667,0.666666667,0.666666667,0.5,0.5,0.5
RL,Y12,LA0480A,0.141304348,1.038461538,0.322580645,1.4375,0.347826087,1.168831169
SL,Y12,LA0480A,0.454545455,0.4375,0.5,0.176470588,0.259259259,0.464285714
ST,Y12,LA0480A,0.366666667,0.355029586,0.451282051,0.496598639,0.291925466,0.272727273
RFM,Y12,LA0480A,0.212799858,0.323918643,0.244172122,0.436758223,0.173415978,0.185148304
SFM,Y12,LA0480A,0.343321272,0.392078594,0.248833079,0.284002328,0.259082677,0.225050774
TFM,Y12,LA0480A,0.319907584,0.379871473,0.248066443,0.30335092,0.246724775,0.21818949
RDM,Y12,LA0480A,0.362478778,0.558356676,0.354785479,0.610447761,0.325628141,0.364434687
SDM,Y12,LA0480A,0.379876797,0.410753548,0.26356305,0.389783343,0.269798202,0.240062844
TDM,Y12,LA0480A,0.348720654,0.397324941,0.262778041,0.370783345,0.273753185,0.259306954
WC,Y12,LA0480A,0.318062009,0.378744518,0.247202102,0.29974813,0.245164319,0.215923242
WCn,Y12,LA0480A,NA,NA,0.634123953,0.142651494,0.445191853,0.302278399
GPI,Y12,LA0480A,1.120308099,1.354467657,1.271797159,1.120685315,0.95069212,0.951655562
GPF,Y12,LA0480A,0.519716649,0.526075881,0.28710007,0.289007241,0.227471432,0.237215999
dGP,Y12,LA0480A,0.453142533,0.43279463,0.22366988,0.237903101,0.17642106,0.194501322
L4FM,Y12,LA0480A,0.39847401,0.377730557,0.271456564,0.121036029,0.286282432,0.264826582
L4DM,Y12,LA0480A,0.239243807,0.242912371,0.197869955,0.185693642,0.252779837,0.280410742
L4A,Y12,LA0480A,0.465018491,0.474320085,NA,0.153138231,0.257228513,0.269279827
RNa,Y12,LA0480A,32.19801588,30.60301045,26.7443368,16.33554964,18.02823268,38.74999447
RK,Y12,LA0480A,0.760389357,1.127151957,0.814666793,1.381724132,0.747865319,NA
LNa,Y12,LA0480A,19.66561559,16.32271946,12.96056746,8.200349758,27.99245313,20.82973158
LK,Y12,LA0480A,0.271230746,0.287540566,0.204508283,NA,0.197591193,0.305599758
LeafSucculence,Y12,LA0480A,0.915581837,0.839555334,NA,0.755348677,1.125073753,0.978169235
LeafPerimeter,Y12,LA0480A,0.385106448,0.52315943,NA,0.19524004,0.286784167,0.327410267
LeafVertLength,Y12,LA0480A,0.485574669,0.46120283,NA,0.27680505,0.375856453,0.404760687
LeafHorizWidth,Y12,LA0480A,0.612159675,NA,NA,NA,0.514278172,0.589120438
LeafElongationFactor,Y12,LA0480A,1.260491201,1.717657343,NA,1.128370358,1.368336602,1.455290102
DG,Y13,LA0483,5,5,5,5,5,5
DL4,Y13,LA0483,NA,14,14,14,14,14
DH,Y13,LA0483,11,11,11,11,11,11
LN,Y13,LA0483,0.666666667,0.5,0.5,0.5,0.333333333,0.333333333
RL,Y13,LA0483,0.305555556,0.666666667,1.363636364,0.846153846,1.181818182,0.590909091
SL,Y13,LA0483,0.5625,0.375,0.545454545,0.363636364,0.351851852,0.604651163
ST,Y13,LA0483,0.079069767,NA,0.293193717,0.325301205,0.194312796,0.237442922
RFM,Y13,LA0483,0.207334224,0.358630572,0.300047675,0.158889338,0.267616852,0.211812738
SFM,Y13,LA0483,0.190478082,0.198671276,0.183847294,0.172682729,0.14348538,0.14158002
TFM,Y13,LA0483,0.193584336,0.219114204,0.200461029,0.170496496,0.161777333,0.154661178
RDM,Y13,LA0483,0.312995246,0.659653465,0.607575758,0.288793103,0.469985359,0.40459364
SDM,Y13,LA0483,0.250882145,0.295533909,0.347540984,0.244691358,0.26499412,0.270847344
TDM,Y13,LA0483,0.271130262,0.327321801,0.331063598,0.26016402,0.265806778,0.269381533
WC,Y13,LA0483,0.188753527,0.213020981,0.194235076,0.165878928,0.156434486,0.149059142
WCn,Y13,LA0483,NA,-3.064373162,-0.074838931,-0.158276816,-0.440653726,-0.396268884
GPI,Y13,LA0483,1.437526669,1.521753733,1.517292472,1.168673953,1.388111442,1.263891538
GPF,Y13,LA0483,0.325829325,0.314332629,0.160008911,0.28380568,0.219957302,0.213601118
dGP,Y13,LA0483,0.21065418,0.201785399,0.06324821,0.208988631,0.130495393,0.122108768
L4FM,Y13,LA0483,0.301610822,0.180238058,0.116143021,0.308387549,0.160177764,0.130257327
L4DM,Y13,LA0483,0.300330033,0.277076761,0.185246811,0.303553299,0.202072539,0.192490494
L4A,Y13,LA0483,NA,NA,0.150121623,0.227731049,0.183801981,0.171891932
RNa,Y13,LA0483,25.10262199,22.27901166,23.02672489,26.5736194,20.40854029,15.96547262
RK,Y13,LA0483,1.06650383,1.294865292,2.231423626,2.479982975,2.119098196,1.178396108
LNa,Y13,LA0483,27.80161668,27.1971508,20.40442415,NA,27.39546693,22.24554368
LK,Y13,LA0483,0.758501915,0.751557436,0.994215569,NA,0.626747846,0.778030901
LeafSucculence,Y13,LA0483,0.763754691,NA,0.737002351,NA,0.851476444,0.725538702
LeafPerimeter,Y13,LA0483,NA,NA,0.262383593,0.300209824,0.267869884,0.261471325
LeafVertLength,Y13,LA0483,0.461820292,NA,0.412840058,0.388795915,0.441959826,0.344392685
LeafHorizWidth,Y13,LA0483,0.588022192,NA,0.47915731,0.513045108,0.396269193,0.389379303
LeafElongationFactor,Y13,LA0483,1.273217726,NA,1.160798343,1.319574621,NA,1.130596322
DG,Y14,LA0521,3,3,3,3,3,3
DL4,Y14,LA0521,10,10,11,11,11,11
DH,Y14,LA0521,11,11,11,11,11,11
LN,Y14,LA0521,0.25,NA,0.333333333,0.25,0.25,0.25
RL,Y14,LA0521,0.857142857,0.373333333,0.6,0.375,0.181818182,0.219512195
SL,Y14,LA0521,0.276315789,0.463768116,0.084507042,0.385964912,0.179775281,0.214953271
ST,Y14,LA0521,0.133333333,0.344594595,-0.732484076,-0.623529412,-0.523316062,-0.421800948
RFM,Y14,LA0521,0.052458704,0.241050281,0.211865746,0.125387623,0.185035144,0.08229844
SFM,Y14,LA0521,0.057886805,0.110469303,0.105170228,0.06544589,0.036086635,0.083315289
TFM,Y14,LA0521,0.057088124,0.123260701,0.117107823,0.074944717,0.052288837,0.083162858
RDM,Y14,LA0521,0.161198288,0.306097561,0.458847737,0.358044164,0.365976146,0.240667976
SDM,Y14,LA0521,0.119836122,0.239781139,0.223594549,0.140897399,0.118484848,0.143026514
TDM,Y14,LA0521,0.13422123,0.258986175,0.24145171,0.167988198,0.135292427,0.150409357
WC,Y14,LA0521,0.053545395,0.114974221,0.109316661,0.069223006,0.047697028,0.079350344
WCn,Y14,LA0521,-1.30643259,-2.995067439,-3.752090538,-3.051437868,-2.501914614,-1.597141988
GPI,Y14,LA0521,0.873571956,1.600690969,1.268493862,1.057552916,0.975686141,0.970572095
GPF,Y14,LA0521,0.135093543,NA,0.098995713,0.121854172,0.078756694,0.103801896
dGP,Y14,LA0521,0.04078499,0.062218797,-0.003350871,0.036251968,0.001844351,0.045009737
L4FM,Y14,LA0521,0.123971611,0.266563781,0.192170989,0.162959825,0.04030256,0.036200292
L4DM,Y14,LA0521,0.171914894,NA,0.198388721,0.148062016,NA,0.141162515
L4A,Y14,LA0521,0.144942867,NA,0.14115084,0.140616582,NA,0.114772896
RNa,Y14,LA0521,22.31684666,18.65223596,20.41642721,15.75880253,14.25358834,18.42162517
RK,Y14,LA0521,1.838627861,0.712800928,0.882166197,1.189517707,0.552154421,2.594831043
LNa,Y14,LA0521,14.88359426,16.58678472,35.17486789,27.28361599,20.99901316,54.70037762
LK,Y14,LA0521,0.887509164,0.637764549,0.535234892,0.449448564,1.228550269,NA
LeafSucculence,Y14,LA0521,0.825383407,0.874239028,1.356813354,1.169511645,0.887537145,NA
LeafPerimeter,Y14,LA0521,0.225078375,NA,0.208630173,0.194890397,NA,0.194324202
LeafVertLength,Y14,LA0521,0.326856695,NA,0.32755303,0.355368672,NA,0.299995718
LeafHorizWidth,Y14,LA0521,0.320808652,0.620122929,0.407630903,0.375005103,0.181812629,0.26591395
LeafElongationFactor,Y14,LA0521,0.981507166,1.182176915,1.244397335,1.055176257,0.856345663,0.886409736
DG,Y15,LA0522,3,3,3,3,3,3
DL4,Y15,LA0522,11,11,12,12,12,12
DH,Y15,LA0522,11,11,11,11,11,11
LN,Y15,LA0522,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.5
RL,Y15,LA0522,0.328767123,NA,0.583333333,0.420289855,0.514285714,0.722772277
SL,Y15,LA0522,0.447368421,0.303370787,0.685714286,0.386363636,0.509433962,0.5
ST,Y15,LA0522,0.442622951,NA,0.285714286,0.233333333,0.244186047,0.331360947
RFM,Y15,LA0522,0.131984275,NA,0.110015376,0.160315154,0.16420737,0.126719344
SFM,Y15,LA0522,0.127672149,NA,0.115304096,0.082315395,0.147461411,0.087041908
TFM,Y15,LA0522,0.128567415,NA,0.114540514,0.092061076,0.149116172,0.092794879
RDM,Y15,LA0522,0.291028446,0.559055118,NA,0.270149254,0.448692153,0.200203252
SDM,Y15,LA0522,0.260306243,NA,0.288073072,0.223663992,0.276037736,0.16527167
TDM,Y15,LA0522,0.260577705,NA,0.228198233,0.216521843,0.269885608,0.167617903
WC,Y15,LA0522,0.119273019,NA,0.107314412,0.084306163,0.141595779,0.087973209
WCn,Y15,LA0522,-1.804518429,-2.007260442,-0.425187314,-2.693453683,-1.697682786,-1.258001365
GPI,Y15,LA0522,1.05448128,0.995319503,1.039384337,1.03888029,NA,0.927136293
GPF,Y15,LA0522,0.146760559,NA,0.166082279,0.140573716,0.177195294,0.154864274
dGP,Y15,LA0522,-0.016765869,NA,0.06415723,0.003853497,0.069519012,0.071451351
L4FM,Y15,LA0522,NA,NA,0.132192585,0.16781698,0.145276061,0.127900527
L4DM,Y15,LA0522,0.248353716,NA,0.151764706,0.175026681,0.199302731,0.159672467
L4A,Y15,LA0522,0.205515945,NA,0.154140932,0.191057406,0.180509666,0.16007792
RNa,Y15,LA0522,NA,17.9748246,14.67995722,15.62800398,19.37292275,10.11987998
RK,Y15,LA0522,3.082381052,5.644859813,0.942771883,1.181315848,1.649736001,0.926686328
LNa,Y15,LA0522,NA,7.341259454,12.15013239,20.07378921,9.217904359,11.099483
LK,Y15,LA0522,NA,0.843939528,0.721135948,0.657938378,0.754593925,0.870144655
LeafSucculence,Y15,LA0522,NA,0.913036117,0.84426999,0.87460638,0.775430062,0.779282581
LeafPerimeter,Y15,LA0522,0.244920349,0.358919844,0.213098402,0.248515634,0.283826293,0.228762609
LeafVertLength,Y15,LA0522,0.40447527,NA,0.368995549,0.397933572,0.404392379,0.383811882
LeafHorizWidth,Y15,LA0522,0.443470259,0.542750361,0.371236998,0.386289126,0.462103364,0.349713684
LeafElongationFactor,Y15,LA0522,1.096582985,1.171909063,1.006095703,0.970835839,1.142670371,0.911157311
DG,Y16,LA0524,3,3,3,3,3,3
DL4,Y16,LA0524,10,10,11,11,12,12
DH,Y16,LA0524,11,11,11,11,11,11
LN,Y16,LA0524,0.5,0.666666667,0.666666667,NA,0.666666667,0.5
RL,Y16,LA0524,0.638888889,0.458333333,0.074074074,0.092592593,0.529411765,0.375
SL,Y16,LA0524,0.12,0.363636364,0.777777778,0.627906977,0.421052632,0.342105263
ST,Y16,LA0524,0.375,0.245901639,0.000268436,0.558441558,0.670886076,0.335766423
RFM,Y16,LA0524,0.096111895,0.065635939,NA,0.544109168,0.442377168,0.111415275
SFM,Y16,LA0524,0.235350734,0.245701762,0.288997199,0.250699664,0.324730787,NA
TFM,Y16,LA0524,0.207124834,0.206502826,0.331327852,0.280152414,0.334712707,0.072161246
RDM,Y16,LA0524,0.44047619,0.437956204,0.241531664,0.562700965,NA,0.224793388
SDM,Y16,LA0524,0.278157683,0.2738041,0.282467532,0.241597469,NA,NA
TDM,Y16,LA0524,0.306303453,0.294052163,0.279815911,0.269019462,NA,NA
WC,Y16,LA0524,0.198251431,0.198904026,0.341838377,0.281438994,0.324599757,0.065423508
WCn,Y16,LA0524,4.113780621,-19.74538866,0.458153088,0.572171845,5.862197003,-5.751997473
GPI,Y16,LA0524,1.003949917,0.814824886,1.266917293,1.033776756,1.169406708,1.086490047
GPF,Y16,LA0524,0.24275404,0.267611038,0.207879008,0.269251204,NA,0.170816511
dGP,Y16,LA0524,0.140940464,0.176371907,0.05979175,0.154735815,0.264305613,0.022306151
L4FM,Y16,LA0524,0.284650089,0.210339553,0.409291698,0.540430133,0.245738811,0.125773677
L4DM,Y16,LA0524,0.396963124,0.314055145,0.286286286,0.239296981,0.419555556,0.168969849
L4A,Y16,LA0524,0.320759945,0.227048342,0.338495256,0.490676447,0.242681763,0.141046321
RNa,Y16,LA0524,NA,13.21389779,NA,15.26139317,14.92291694,13.87903011
RK,Y16,LA0524,1.735990618,1.736235817,0.210355663,0.325933046,0.335932004,0.969630871
LNa,Y16,LA0524,12.55415664,19.84914051,18.46323338,15.34645032,17.05831291,18.25309503
LK,Y16,LA0524,1.048739397,0.934328436,0.659442981,0.597674617,0.74214738,0.76255321
LeafSucculence,Y16,LA0524,0.84992431,0.880691819,1.274372444,1.324501527,0.95953389,0.860332427
LeafPerimeter,Y16,LA0524,0.453990594,0.295749045,0.428428719,0.424711853,0.272392051,0.206445174
LeafVertLength,Y16,LA0524,0.535924701,0.427296643,0.576641601,0.622215656,0.423159702,0.369152814
LeafHorizWidth,Y16,LA0524,0.602945415,0.459365132,0.670625015,0.710523873,0.496816956,0.329869759
LeafElongationFactor,Y16,LA0524,1.125101808,1.07495286,1.162907675,1.141941565,1.174142083,NA
DG,Y17,LA0526,4,4,4,4,4,4
DL4,Y17,LA0526,13,13,13,14,14,15
DH,Y17,LA0526,11,11,11,11,11,NA
LN,Y17,LA0526,NA,NA,NA,NA,NA,NA
RL,Y17,LA0526,NA,NA,NA,NA,NA,NA
SL,Y17,LA0526,NA,NA,NA,NA,NA,NA
ST,Y17,LA0526,NA,NA,NA,NA,NA,NA
RFM,Y17,LA0526,NA,NA,NA,NA,NA,NA
SFM,Y17,LA0526,NA,NA,NA,NA,NA,NA
TFM,Y17,LA0526,NA,NA,NA,NA,NA,NA
RDM,Y17,LA0526,NA,NA,NA,NA,NA,NA
SDM,Y17,LA0526,NA,NA,NA,NA,NA,NA
TDM,Y17,LA0526,NA,NA,NA,NA,NA,NA
WC,Y17,LA0526,NA,NA,NA,NA,NA,NA
WCn,Y17,LA0526,NA,NA,NA,NA,NA,NA
GPI,Y17,LA0526,1.519009895,1.33660155,1.383528627,1.009871796,1.227559639,1.161796598
GPF,Y17,LA0526,0.17829654,0.044836967,0.444385169,0.014661934,0.211493122,0.743816444
dGP,Y17,LA0526,2.869501354,NA,1.426612661,4.03454887,1.76593527,1.236188268
L4FM,Y17,LA0526,NA,NA,NA,NA,NA,NA
L4DM,Y17,LA0526,NA,NA,NA,NA,NA,NA
L4A,Y17,LA0526,NA,NA,NA,NA,NA,NA
RNa,Y17,LA0526,NA,NA,NA,NA,NA,NA
RK,Y17,LA0526,NA,NA,NA,NA,NA,NA
LNa,Y17,LA0526,NA,NA,NA,NA,NA,NA
LK,Y17,LA0526,NA,NA,NA,NA,NA,NA
LeafSucculence,Y17,LA0526,NA,NA,NA,NA,NA,NA
LeafPerimeter,Y17,LA0526,NA,NA,NA,NA,NA,NA
LeafVertLength,Y17,LA0526,NA,NA,NA,NA,NA,NA
LeafHorizWidth,Y17,LA0526,NA,NA,NA,NA,NA,NA
LeafElongationFactor,Y17,LA0526,NA,NA,NA,NA,NA,NA
DG,Y18,LA0528,4,4,4,4,4,4
DL4,Y18,LA0528,12,13,14,14,14,15
DH,Y18,LA0528,11,11,11,11,11,NA
LN,Y18,LA0528,0.666666667,0.666666667,0.333333333,0.5,0.666666667,0.333333333
RL,Y18,LA0528,0.450643777,0.291666667,0.972727273,0.225,0.830985915,0.34375
SL,Y18,LA0528,0.428571429,0.235294118,0.605263158,0.257142857,0.575757576,0.1
ST,Y18,LA0528,0.4,0.423529412,0.412371134,0.510204082,0.413612565,0.581521739
RFM,Y18,LA0528,0.268291174,0.204592541,0.163365063,0.444899743,0.363632416,0.091152263
SFM,Y18,LA0528,NA,0.144630826,0.137356636,0.146878174,0.144532032,NA
TFM,Y18,LA0528,0.224408789,0.153256301,0.142705225,0.191703373,0.182497517,0.087993409
RDM,Y18,LA0528,0.457931034,0.303030303,0.198417529,0.810704961,0.361031519,0.170191339
SDM,Y18,LA0528,0.366221833,0.227593784,0.136880528,0.289391922,0.281315739,0.174970806
TDM,Y18,LA0528,0.353694008,0.233315422,0.174623816,0.343256653,0.294570754,0.150387597
WC,Y18,LA0528,0.216509685,0.148347303,0.140777353,0.182941141,0.175271358,0.084116126
WCn,Y18,LA0528,-2.295059586,-1.261356839,-0.732274553,-14.45585413,-14.03955557,-1.496619881
GPI,Y18,LA0528,1.262031,NA,NA,1.161500778,1.351072711,1.182079876
GPF,Y18,LA0528,0.256925885,NA,0.25101919,0.188943382,0.219633115,0.139211054
dGP,Y18,LA0528,0.161801159,NA,0.174779681,0.083323755,0.061867494,0.032068843
L4FM,Y18,LA0528,0.218045533,0.188774669,NA,0.160727273,0.25551009,0.036538858
L4DM,Y18,LA0528,0.269620253,0.208544126,0.2895,0.259608412,0.294416244,NA
L4A,Y18,LA0528,0.23425984,0.202104666,NA,0.190733287,NA,0.042191017
RNa,Y18,LA0528,18.99563176,24.38798909,16.50828742,14.22393111,14.24365916,28.68821851
RK,Y18,LA0528,1.360185415,1.067558639,0.820998063,0.755595151,0.715994913,1.308274012
LNa,Y18,LA0528,NA,21.06529019,20.80451597,23.9100097,24.16980709,19.15339466
LK,Y18,LA0528,0.685918787,0.609213816,0.14989937,0.861458712,0.491764073,1.177668508
LeafSucculence,Y18,LA0528,0.909440327,0.923440989,NA,0.799342397,NA,0.816474246
LeafPerimeter,Y18,LA0528,0.29337387,0.254132403,NA,0.257802628,NA,0.095257403
LeafVertLength,Y18,LA0528,0.4,0.324913698,NA,0.347995571,NA,0.186255241
LeafHorizWidth,Y18,LA0528,0.507458757,0.348840389,NA,0.495641727,NA,0.148556822
LeafElongationFactor,Y18,LA0528,1.268714012,1.073526885,NA,1.424434389,NA,0.797593887
DG,Y19,LA0528B,3,3,3,3,3,3
DL4,Y19,LA0528B,NA,13,13,13,13,13
DH,Y19,LA0528B,11,11,11,11,11,11
LN,Y19,LA0528B,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
RL,Y19,LA0528B,-0.073170732,2,1.066666667,3.461538462,0.049180328,-2.777777778
SL,Y19,LA0528B,0.225806452,0.21875,0.567567568,0.275862069,0.405405405,0.545454545
ST,Y19,LA0528B,0.413793103,-0.066326531,0.057591623,0.087719298,0.368181818,0.591954023
RFM,Y19,LA0528B,0.143117726,0.257690742,0.224184036,0.203996407,0.220893817,NA
SFM,Y19,LA0528B,0.195889373,0.23649722,0.315665511,0.254983084,0.249034663,0.339805984
TFM,Y19,LA0528B,0.18501252,0.23999242,0.297127672,0.246237141,0.244820287,0.350282863
RDM,Y19,LA0528B,NA,0.333791839,NA,0.328990228,0.30952381,NA
SDM,Y19,LA0528B,NA,0.318524475,0.382084095,0.350975262,0.354526864,0.460297919
TDM,Y19,LA0528B,NA,0.284783052,0.301145136,0.32744387,0.336142911,NA
WC,Y19,LA0528B,0.184233056,0.237227318,0.296881708,0.241603529,0.239975305,0.345800599
WCn,Y19,LA0528B,0.337319131,-0.74192792,0.792080404,-0.675191542,-1.30471657,-0.652591381
GPI,Y19,LA0528B,1.058884885,1.161135204,1.177153931,1.008755777,0.906694319,1.070417645
GPF,Y19,LA0528B,0.39524392,0.511446788,NA,0.33459538,0.439709948,0.329272608
dGP,Y19,LA0528B,0.31925984,0.407900639,NA,0.257711623,0.387529602,0.276219023
L4FM,Y19,LA0528B,0.186724615,0.088387621,0.23634285,0.158456956,0.233056478,0.271843307
L4DM,Y19,LA0528B,0.16526815,0.114362726,0.305606449,0.253412025,0.287985866,0.330135194
L4A,Y19,LA0528B,0.242239849,0.134572872,0.289121272,0.212512143,0.262633178,0.322954308
RNa,Y19,LA0528B,10.85796547,14.68937361,NA,17.11108226,8.10021857,12.91104247
RK,Y19,LA0528B,0.631329406,0.786487075,NA,NA,0.545013788,0.637082482
LNa,Y19,LA0528B,15.35869561,20.8636729,18.43213829,26.80174184,27.40411634,24.47638164
LK,Y19,LA0528B,0.492403986,0.89282183,0.632012586,1.005019981,0.615522378,0.545625477
LeafSucculence,Y19,LA0528B,0.781582793,0.632662206,0.795391386,0.708026292,0.869604154,0.826062067
LeafPerimeter,Y19,LA0528B,0.333596582,0.277455575,0.337118794,0.353799438,0.3198357,0.3920988
LeafVertLength,Y19,LA0528B,0.375179071,0.354037438,0.416777949,0.384818273,0.370670361,0.43366547
LeafHorizWidth,Y19,LA0528B,0.484135378,NA,0.502328329,0.430657874,0.453563084,0.594900237
LeafElongationFactor,Y19,LA0528B,1.290404962,0.894811154,1.205291187,1.119104864,1.22366952,1.371863268
DG,Y20,LA0529,3,3,3,3,3,3
DL4,Y20,LA0529,11,11,12,12,12,12
DH,Y20,LA0529,11,11,11,11,11,11
LN,Y20,LA0529,0.333333333,0.333333333,0.666666667,0.333333333,0.5,0.666666667
RL,Y20,LA0529,0.246575342,0.838709677,0.425,NA,0.431818182,0.042424242
SL,Y20,LA0529,0.357142857,0.220338983,0.240740741,NA,0.275862069,0.282608696
ST,Y20,LA0529,0.153508772,0.272727273,0.06122449,-0.027777778,0.2,0.244897959
RFM,Y20,LA0529,0.092317387,0.131935882,0.076612177,0.050906623,0.124491844,0.016776559
SFM,Y20,LA0529,0.047197609,NA,0.059414761,0.033713544,0.035695633,0.051090578
TFM,Y20,LA0529,0.054820651,NA,0.062537099,0.036712922,0.052077257,0.044465743
RDM,Y20,LA0529,0.344862665,0.259675406,0.124179944,0.101181305,0.165404544,NA
SDM,Y20,LA0529,0.134254485,NA,0.121245462,0.093919008,0.12200756,0.107960404
