Trait,AccessionNumber,AccessionName,rep1,rep2,rep3,rep4,rep5,rep6
DG,Y02,LA0317,6,6,6,6,6,6
DL4,Y02,LA0317,12,12,12,12,12,NA
DH,Y02,LA0317,11,11,11,11,11,11
LN,Y02,LA0317,0.666666667,0.666666667,0.666666667,0.666666667,0.5,NA
RL,Y02,LA0317,0.525,0.441176471,0.647887324,0.357142857,0.131578947,0.17699115
SL,Y02,LA0317,0.473684211,1,0.8,0.45,0.916666667,-0.125
ST,Y02,LA0317,0.626865672,0.584269663,NA,0.834394904,0.76,0.680203046
RFM,Y02,LA0317,0.510700689,0.309234791,0.490050722,0.609609121,0.444647847,0.38046875
SFM,Y02,LA0317,0.5071917,0.400080635,0.532744379,0.585038451,0.470292861,0.490464819
TFM,Y02,LA0317,0.507700922,0.384162677,0.526399496,0.587849483,0.466748777,0.474987175
RDM,Y02,LA0317,0.681914894,0.538203191,1.037704918,1.139312977,0.985313752,0.771276596
SDM,Y02,LA0317,0.581441801,0.468628719,0.531214313,NA,0.610942249,0.560650888
TDM,Y02,LA0317,0.550992724,0.454604621,0.629317081,0.740375844,0.603050685,0.53595092
WC,Y02,LA0317,0.504911154,0.379838044,0.520638892,0.579641847,0.458750062,0.471114575
WCn,Y02,LA0317,-0.551829346,-0.863746009,0.066065797,0.098692981,-0.50191292,-0.740352024
GPI,Y02,LA0317,1.309129362,1.128645376,1.140713896,1.241197315,1.939899711,1.524137865
GPF,Y02,LA0317,0.551117668,NA,0.498944246,0.529443039,0.524269747,NA
dGP,Y02,LA0317,0.462786,NA,0.423125889,0.454831522,0.407310336,0.521465974
L4FM,Y02,LA0317,0.329389446,0.303819999,NA,0.39765865,0.296660907,0.357601713
L4DM,Y02,LA0317,0.376052948,0.353579176,NA,0.464583333,0.436491935,0.379899497
L4A,Y02,LA0317,0.350816228,0.295525917,NA,0.378972577,0.329248823,0.36327745
RNa,Y02,LA0317,30.29829752,31.71475868,23.259061,21.66571589,21.70676561,24.50786447
RK,Y02,LA0317,0.892897316,1.332355818,1.355168901,1.714933371,1.300476132,NA
LNa,Y02,LA0317,21.50237042,24.89448328,20.51395466,22.62327697,17.99345711,21.83897062
LK,Y02,LA0317,0.454279532,0.530783876,0.338421396,0.372961027,0.499986367,0.485349884
LeafSucculence,Y02,LA0317,0.926888143,1.012593155,1.182232207,1.034724275,0.864233539,0.978657894
LeafPerimeter,Y02,LA0317,0.292698909,0.234516069,NA,0.271153739,0.250992446,0.288677109
LeafVertLength,Y02,LA0317,0.471070142,0.460549858,NA,0.506730795,0.490715696,0.48007675
LeafHorizWidth,Y02,LA0317,0.487186252,0.487895679,NA,0.582742942,0.504708896,0.6420653
LeafElongationFactor,Y02,LA0317,1.034264547,1.059250888,1.477627258,1.150039904,1.028437453,1.337449318
DG,Y03,LA0421,4,4,4,4,4,4
DL4,Y03,LA0421,11,11,12,12,13,15
DH,Y03,LA0421,11,11,11,11,11,11
LN,Y03,LA0421,0.5,0.666666667,0.5,0.75,1,0.75
RL,Y03,LA0421,0.263565891,1.447058824,0.121212121,0.85106383,0.260869565,0.840909091
SL,Y03,LA0421,0.553191489,0.644444444,NA,0.693877551,0.541666667,0.461538462
ST,Y03,LA0421,0.593103448,0.485380117,-0.140243902,-0.204545455,0.429577465,0.468965517
RFM,Y03,LA0421,0.208278333,0.417653995,0.100061122,0.172384856,0.206658701,0.388256358
SFM,Y03,LA0421,0.33638839,NA,NA,0.363038864,0.342629414,0.383420552
TFM,Y03,LA0421,0.308890493,0.474199942,0.232133513,0.326674464,0.32413202,0.384132737
RDM,Y03,LA0421,0.338485317,0.74,0.03219697,0.643512451,0.611940299,0.833333333
SDM,Y03,LA0421,0.307596202,0.436807875,0.276119403,0.363568662,NA,0.369608291
